date,corridor,currency,source,source_file,nominal,value_rub,rub_per_unit,units_per_rub,days_since_previous,same_rate_as_previous
2016-09-02,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.7382000000,0.1373820000,7.2789739558,,
2016-09-03,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.8670000000,0.1386700000,7.2113651114,1,False
2016-09-06,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.6346000000,0.1363460000,7.3342819005,3,False
2016-09-07,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.6629000000,0.1366290000,7.3190903834,1,False
2016-09-08,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.5681000000,0.1356810000,7.3702286982,1,False
2016-09-09,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.4680000000,0.1346800000,7.4250074250,1,False
2016-09-10,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.5077000000,0.1350770000,7.4031848501,1,False
2016-09-13,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.7100000000,0.1371000000,7.2939460248,3,False
2016-09-14,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.6500000000,0.1365000000,7.3260073260,1,False
2016-09-15,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.6844000000,0.1368440000,7.3075911257,1,False
2016-09-16,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.7444000000,0.1374440000,7.2756904630,1,False
2016-09-17,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.6974000000,0.1369740000,7.3006555989,1,False
2016-09-20,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.6841000000,0.1368410000,7.3077513318,3,False
2016-09-21,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.6577000000,0.1365770000,7.3218770364,1,False
2016-09-22,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.5811000000,0.1358110000,7.3631738224,1,False
2016-09-23,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.4644000000,0.1346440000,7.4269926621,1,False
2016-09-24,RUB_AMD,AMD,CBR,AMD_RC_F02_09_2016_T02_09_2026.dbf,100,13.4984000000,0.1349840000,7.4082854264,1,False
