date,corridor,currency,source,source_file,nominal,value_rub,rub_per_unit,units_per_rub,days_since_previous,same_rate_as_previous
2016-09-02,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,72.6828000000,72.6828000000,0.0137584133,,
2016-09-03,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,73.7199000000,73.7199000000,0.0135648583,1,False
2016-09-06,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,72.3742000000,72.3742000000,0.0138170785,3,False
2016-09-07,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,72.3639000000,72.3639000000,0.0138190451,1,False
2016-09-08,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,72.4022000000,72.4022000000,0.0138117350,1,False
2016-09-09,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,72.0464000000,72.0464000000,0.0138799440,1,False
2016-09-10,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,72.3359000000,72.3359000000,0.0138243942,1,False
2016-09-13,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,73.1986000000,73.1986000000,0.0136614635,3,False
2016-09-14,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,72.7559000000,72.7559000000,0.0137445898,1,False
2016-09-15,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,72.9460000000,72.9460000000,0.0137087709,1,False
2016-09-16,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,73.2126000000,73.2126000000,0.0136588511,1,False
2016-09-17,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,73.0208000000,73.0208000000,0.0136947281,1,False
2016-09-20,RUB_EUR,EUR,CBR,EUR_RC_F02_09_2016_T02_09_2026.dbf,1,72.4477000000,72.4477000000,0.0138030607,3,False
