date,corridor,horizon_calendar_days,epsilon,has_full_window,window_min_rub_per_unit,window_mean_rub_per_unit,future_min_rub_per_unit,target_good_now,message_hit,future_regret_bps,moment_advantage_bps
2016-09-02,RUB_KGS,5,0.0050000000,False,,,,,,,
2016-09-03,RUB_KGS,5,0.0050000000,False,,,,,,,
2016-09-06,RUB_KGS,5,0.0050000000,False,,,,,,,
2016-09-07,RUB_KGS,5,0.0050000000,True,0.9256720000,0.9394473636,0.9256720000,0,0,137.2536902512,9.5094591879
2016-09-08,RUB_KGS,5,0.0050000000,True,0.9256720000,0.9389640000,0.9256720000,0,0,70.9971457410,71.0676873661
2016-09-09,RUB_KGS,5,0.0050000000,True,0.9256720000,0.9375703636,0.9288300000,1,1,0.0000000000,126.9063538892
2016-09-10,RUB_KGS,5,0.0050000000,True,0.9256720000,0.9363273636,0.9288300000,1,1,0.0000000000,80.0720338584
2016-09-13,RUB_KGS,5,0.0050000000,True,0.9256720000,0.9375120909,0.9406420000,0,1,0.0000000000,-23.8280563266
2016-09-14,RUB_KGS,5,0.0050000000,True,0.9256720000,0.9389489091,0.9422990000,0,1,0.0000000000,-18.0317682112
2016-09-15,RUB_KGS,5,0.0050000000,True,0.9288300000,0.9406979091,0.9449110000,0,1,0.0000000000,-17.0202452203
2016-09-16,RUB_KGS,5,0.0050000000,True,0.9288300000,0.9420676364,0.9438970000,0,0,56.9260961486,-76.7817867546
2016-09-17,RUB_KGS,5,0.0050000000,True,0.9288300000,0.9427777273,0.9366410000,0,0,120.8210982854,-56.4106742600
2016-09-20,RUB_KGS,5,0.0050000000,True,0.9276510000,0.9406723636,0.9276510000,0,0,182.6627057998,-45.0596459244
2016-09-21,RUB_KGS,5,0.0050000000,True,0.9276510000,0.9394819091,0.9276510000,0,0,172.1162372589,-46.9949539887
2016-09-22,RUB_KGS,5,0.0050000000,True,0.9276510000,0.9378612727,0.9276510000,0,0,95.9812777788,13.0112284488
2016-09-23,RUB_KGS,5,0.0050000000,True,0.9276510000,0.9362840909,0.9292040000,1,1,0.0000000000,92.2058912772
2016-09-24,RUB_KGS,5,0.0050000000,True,0.9276510000,0.9350273636,0.9292040000,1,1,0.0000000000,62.2801413396
2016-09-27,RUB_KGS,5,0.0050000000,True,0.9267430000,0.9310476364,0.9267430000,0,0,50.7904675815,-4.5793965820
2016-09-28,RUB_KGS,5,0.0050000000,True,0.9267430000,0.9307340909,0.9267430000,1,1,43.0192093018,-0.1386979486
2016-09-29,RUB_KGS,5,0.0050000000,True,0.9137720000,0.9294723636,0.9137720000,0,0,219.4221811207,-51.6382901893
2016-09-30,RUB_KGS,5,0.0050000000,True,0.9137720000,0.9284342727,0.9137720000,0,0,139.9632907937,18.2163969702
2016-10-01,RUB_KGS,5,0.0050000000,True,0.9137720000,0.9273390000,0.9137720000,0,0,208.1029413025,-63.1160772921
2016-10-04,RUB_KGS,5,0.0050000000,True,0.9121980000,0.9226528182,0.9121980000,1,1,17.2253034674,96.2530868254
2016-10-05,RUB_KGS,5,0.0050000000,True,0.9121980000,0.9206460909,0.9121980000,0,0,60.8748236243,31.0769897069
2016-10-06,RUB_KGS,5,0.0050000000,True,0.9121980000,0.9193765455,0.9121980000,0,0,54.0584153623,24.1527311690
2016-10-07,RUB_KGS,5,0.0050000000,True,0.9086140000,0.9171421818,0.9086140000,0,0,75.0097489735,18.1125876785
2016-10-08,RUB_KGS,5,0.0050000000,True,0.9086140000,0.9154215455,0.9086140000,1,1,39.2897156100,35.2137817878
2016-10-11,RUB_KGS,5,0.0050000000,True,0.9086140000,0.9156160909,0.9086140000,1,1,45.6189785468,30.9965163049
2016-10-12,RUB_KGS,5,0.0050000000,True,0.9086140000,0.9158942727,0.9142650000,1,1,0.0000000000,79.4881346467
2016-10-13,RUB_KGS,5,0.0050000000,True,0.9086140000,0.9166321818,0.9202160000,0,1,0.0000000000,25.8247731766
2016-10-14,RUB_KGS,5,0.0050000000,True,0.9086140000,0.9173014545,0.9195600000,0,0,74.4449013824,-99.8095599781
2016-10-15,RUB_KGS,5,0.0050000000,True,0.9086140000,0.9176106364,0.9155990000,0,0,50.1730028602,-28.3929101638
2016-10-18,RUB_KGS,5,0.0050000000,True,0.9142650000,0.9188330909,0.9143170000,0,0,100.4874415059,-51.8582660774
2016-10-19,RUB_KGS,5,0.0050000000,True,0.9143170000,0.9190235455,0.9143170000,0,0,57.0163991474,-5.8372230843
2016-10-20,RUB_KGS,5,0.0050000000,True,0.9121340000,0.9177214545,0.9121340000,1,1,37.8440780298,23.1274373607
2016-10-21,RUB_KGS,5,0.0050000000,True,0.9107130000,0.9168575455,0.9107130000,1,1,39.4174011858,27.7092713818
2016-10-22,RUB_KGS,5,0.0050000000,True,0.9107130000,0.9160765455,0.9107130000,0,0,61.6242524772,-3.0942233688
2016-10-25,RUB_KGS,5,0.0050000000,True,0.9107130000,0.9156652727,0.9107130000,1,1,15.5788513530,38.5651048746
2016-10-26,RUB_KGS,5,0.0050000000,True,0.9107130000,0.9158927273,0.9116250000,1,1,0.0000000000,56.5538639896
2016-10-27,RUB_KGS,5,0.0050000000,True,0.9107130000,0.9164880000,0.9181010000,1,1,0.0000000000,53.0612512111
2016-10-28,RUB_KGS,5,0.0050000000,True,0.9107130000,0.9168430000,0.9181010000,0,1,49.2820664002,-63.3150932057
2016-10-29,RUB_KGS,5,0.0050000000,True,0.9107130000,0.9173941818,0.9181010000,0,1,0.0000000000,-7.7046290006
2016-11-01,RUB_KGS,5,0.0050000000,True,0.9116250000,0.9202935455,0.9202650000,0,1,6.5156130377,-6.2094811843
2016-11-02,RUB_KGS,5,0.0050000000,True,0.9181010000,0.9213912727,0.9224230000,1,1,0.0000000000,12.2236096717
2016-11-03,RUB_KGS,5,0.0050000000,True,0.9181010000,0.9219461818,0.9237000000,1,1,0.0000000000,-5.1718656818
2016-11-04,RUB_KGS,5,0.0050000000,True,0.9181010000,0.9227620000,0.9237000000,0,1,0.0000000000,-10.1651346718
2016-11-08,RUB_KGS,5,0.0050000000,True,0.9207420000,0.9289894545,0.9207420000,0,0,86.2447671714,2.5560521090
2016-11-09,RUB_KGS,5,0.0050000000,True,0.9207420000,0.9312721818,0.9207420000,0,0,68.3116252730,45.0693352612
2016-11-10,RUB_KGS,5,0.0050000000,True,0.9207420000,0.9341080909,0.9207420000,0,0,99.8251661781,43.7004127126
2016-11-11,RUB_KGS,5,0.0050000000,True,0.9207420000,0.9365930000,0.9475330000,1,1,0.0000000000,169.2410684257
2016-11-12,RUB_KGS,5,0.0050000000,True,0.9207420000,0.9374946364,0.9336180000,0,0,146.8550435710,-107.0764913952
2016-11-15,RUB_KGS,5,0.0050000000,True,0.9207420000,0.9411425455,0.9336180000,0,0,222.8203100864,-146.1250966910
