date,corridor,currency,source,source_file,nominal,value_rub,rub_per_unit,units_per_rub,days_since_previous,same_rate_as_previous
2016-09-02,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,94.5063000000,0.9450630000,1.0581305162,,
2016-09-03,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,95.5972000000,0.9559720000,1.0460557422,1,False
2016-09-06,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,93.7935000000,0.9379350000,1.0661719629,3,False
2016-09-07,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,93.8554000000,0.9385540000,1.0654687956,1,False
2016-09-08,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,93.2291000000,0.9322910000,1.0726264653,1,False
2016-09-09,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.5672000000,0.9256720000,1.0802962604,1,False
2016-09-10,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.8830000000,0.9288300000,1.0766232787,1,False
2016-09-13,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,93.9746000000,0.9397460000,1.0641173253,3,False
2016-09-14,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,94.0642000000,0.9406420000,1.0631037100,1,False
2016-09-15,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,94.2299000000,0.9422990000,1.0612342791,1,False
2016-09-16,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,94.9301000000,0.9493010000,1.0534066645,1,False
2016-09-17,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,94.8096000000,0.9480960000,1.0547455110,1,False
2016-09-20,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,94.4911000000,0.9449110000,1.0583007289,3,False
2016-09-21,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,94.3897000000,0.9438970000,1.0594376293,1,False
2016-09-22,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,93.6641000000,0.9366410000,1.0676449141,1,False
2016-09-23,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.7651000000,0.9276510000,1.0779916154,1,False
2016-09-24,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.9204000000,0.9292040000,1.0761899432,1,False
2016-09-27,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,93.1474000000,0.9314740000,1.0735672708,3,False
2016-09-28,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,93.0747000000,0.9307470000,1.0744058267,1,False
2016-09-29,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,93.4272000000,0.9342720000,1.0703521030,1,False
2016-09-30,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.6743000000,0.9267430000,1.0790478051,1,False
2016-10-01,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,93.3192000000,0.9331920000,1.0715908409,1,False
2016-10-04,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.3772000000,0.9137720000,1.0943648963,3,False
2016-10-05,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.7785000000,0.9177850000,1.0895798035,1,False
2016-10-06,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.7156000000,0.9171560000,1.0903270545,1,False
2016-10-07,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.5481000000,0.9154810000,1.0923219597,1,False
2016-10-08,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.2198000000,0.9121980000,1.0962532257,1,False
2016-10-11,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.2778000000,0.9127780000,1.0955566414,3,False
2016-10-12,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,90.8614000000,0.9086140000,1.1005773629,1,False
2016-10-13,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.4265000000,0.9142650000,1.0937747808,1,False
2016-10-14,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.6457000000,0.9264570000,1.0793809103,1,False
2016-10-15,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.0216000000,0.9202160000,1.0867013832,1,False
2016-10-18,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.3598000000,0.9235980000,1.0827221367,3,False
2016-10-19,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.9560000000,0.9195600000,1.0874766193,1,False
2016-10-20,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.5599000000,0.9155990000,1.0921811841,1,False
2016-10-21,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.4317000000,0.9143170000,1.0937125745,1,False
2016-10-22,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.6360000000,0.9163600000,1.0912741717,1,False
2016-10-25,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.2134000000,0.9121340000,1.0963301445,3,False
2016-10-26,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.0713000000,0.9107130000,1.0980407659,1,False
2016-10-27,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.1625000000,0.9116250000,1.0969422734,1,False
2016-10-28,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.2648000000,0.9226480000,1.0838369562,1,False
2016-10-29,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,91.8101000000,0.9181010000,1.0892047825,1,False
2016-11-01,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.0865000000,0.9208650000,1.0859355063,3,False
2016-11-02,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.0265000000,0.9202650000,1.0866435212,1,False
2016-11-03,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.2423000000,0.9224230000,1.0841013288,1,False
2016-11-04,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.3700000000,0.9237000000,1.0826025766,1,False
2016-11-08,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.8752000000,0.9287520000,1.0767136975,4,False
2016-11-09,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,92.7075000000,0.9270750000,1.0786613812,1,False
2016-11-10,RUB_KGS,KGS,CBR,KGS_RC_F02_09_2016_T02_09_2026.dbf,100,93.0026000000,0.9300260000,1.0752387568,1,False
