date,corridor,horizon_calendar_days,epsilon,has_full_window,window_min_rub_per_unit,window_mean_rub_per_unit,future_min_rub_per_unit,target_good_now,message_hit,future_regret_bps,moment_advantage_bps
2016-09-02,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-03,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-06,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-07,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-08,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-09,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-10,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-13,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-14,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-15,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-16,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-17,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-20,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-21,RUB_KZT,20,0.0050000000,False,,,,,,,
2016-09-22,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1898654146,0.1867930000,0,0,178.0944368493,-16.5688609724
2016-09-23,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1898128293,0.1867930000,0,0,106.5125738861,53.1486344828
2016-09-24,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1897751220,0.1867930000,0,0,127.1676911612,30.3581389012
2016-09-27,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1896730488,0.1867930000,0,0,151.5806567265,0.2661833360
2016-09-28,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1896539756,0.1867930000,0,0,118.0796190980,33.1643777956
2016-09-29,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1896142195,0.1867930000,0,0,147.1131225538,1.6992139238
2016-09-30,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1895877805,0.1867930000,0,0,95.0234642204,52.8926751094
2016-10-01,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1895530732,0.1867930000,0,0,113.9479004583,32.0265538605
2016-10-04,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1893733902,0.1869820000,1,1,0.0000000000,136.2593889553
2016-10-05,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1892915366,0.1874500000,1,1,0.0000000000,122.0095006374
2016-10-06,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1891962195,0.1874500000,0,1,23.2586607908,69.1990313322
2016-10-07,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1890963902,0.1877190000,1,1,0.0000000000,87.0661910457
2016-10-08,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1890470976,0.1877190000,0,1,16.9115652770,53.4310007404
2016-10-11,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1888360000,0.1879110000,1,1,0.0000000000,59.1518566375
2016-10-12,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1887866098,0.1879110000,0,1,19.0153450648,27.4177155237
2016-10-13,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1887341707,0.1879110000,0,0,64.3479548242,-20.8668767699
2016-10-14,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1887057805,0.1876400000,0,0,175.0932015247,-120.7286552805
2016-10-15,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1886675854,0.1876330000,0,0,143.0477631385,-89.4915059666
2016-10-18,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1885415610,0.1876330000,0,0,128.6833369283,-81.5437729716
2016-10-19,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1885137073,0.1876330000,0,0,89.5271697794,-43.1954097405
2016-10-20,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1884622195,0.1874710000,0,0,58.3861867085,-5.8250660578
2016-10-21,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1884299512,0.1872620000,0,0,71.1543763653,-9.2367895529
2016-10-22,RUB_KZT,20,0.0050000000,True,0.1867930000,0.1884095366,0.1872620000,0,0,61.1419533580,-0.2368996132
2016-10-25,RUB_KZT,20,0.0050000000,True,0.1869820000,0.1886037073,0.1872620000,0,0,75.7322818788,-4.6283651668
2016-10-26,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1887132439,0.1872620000,1,1,35.7042137357,41.3454766769
2016-10-27,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1887764390,0.1872620000,1,1,34.5376268553,45.8446524822
2016-10-28,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1888190488,0.1872620000,0,0,108.1300941846,-25.9481881027
2016-10-29,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1888649024,0.1872620000,0,0,61.2474524457,23.7684415276
2016-11-01,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1890833171,0.1872620000,0,0,74.3120044100,22.1763125199
2016-11-02,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1891232195,0.1872620000,1,1,40.8445460831,57.8046162187
2016-11-03,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1891251951,0.1872620000,1,1,20.1449584310,78.5297337562
2016-11-04,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1891287805,0.1872620000,1,1,19.7726412731,79.0879359528
2016-11-08,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1892367317,0.1872620000,1,1,33.0524847911,71.5364134174
2016-11-09,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1892676098,0.1872620000,1,1,11.1483909511,94.9243115826
2016-11-10,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1893197317,0.1881090000,1,1,0.0000000000,108.6908210127
2016-11-11,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1893762195,0.1891970000,1,1,0.0000000000,66.9154509188
2016-11-12,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1893530488,0.1874640000,0,0,179.0635052022,-80.7460576610
2016-11-15,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1894828293,0.1874640000,0,0,209.3767789714,-105.0317192008
2016-11-16,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1895580732,0.1874640000,0,0,158.2334967818,-48.5300791404
2016-11-17,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1896177073,0.1874640000,0,0,91.5976468971,22.1871323636
2016-11-18,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1896351220,0.1874640000,0,0,129.1616864209,-14.8642322097
2016-11-19,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1896509024,0.1874640000,0,0,180.8125039284,-66.7066459851
2016-11-22,RUB_KZT,20,0.0050000000,True,0.1872620000,0.1897062439,0.1874640000,0,0,128.5379531871,-10.4770456403
2016-11-23,RUB_KZT,20,0.0050000000,True,0.1863900000,0.1896662439,0.1863900000,0,0,148.9886844706,24.1078166062
2016-11-24,RUB_KZT,20,0.0050000000,True,0.1843180000,0.1895852195,0.1843180000,0,0,356.4570896401,-81.5348628855
2016-11-25,RUB_KZT,20,0.0050000000,True,0.1830270000,0.1894728780,0.1830270000,0,0,481.7698176202,-148.7348469206
2016-11-26,RUB_KZT,20,0.0050000000,True,0.1830270000,0.1893840976,0.1830270000,0,0,422.1482621118,-90.2875405615
2016-11-29,RUB_KZT,20,0.0050000000,True,0.1830270000,0.1891306829,0.1830270000,0,0,397.0219419289,-77.3706862644
2016-11-30,RUB_KZT,20,0.0050000000,True,0.1830270000,0.1890552195,0.1830270000,0,0,402.8126622236,-87.4760555182
2016-12-01,RUB_KZT,20,0.0050000000,True,0.1830270000,0.1889864634,0.1830270000,0,0,413.4192331867,-102.3108507578
2016-12-02,RUB_KZT,20,0.0050000000,True,0.1830270000,0.1888738537,0.1830270000,0,0,236.6854436052,74.6452529679
2016-12-03,RUB_KZT,20,0.0050000000,True,0.1830270000,0.1886881951,0.1830270000,0,0,381.1751103637,-84.3616569134
2016-12-06,RUB_KZT,20,0.0050000000,True,0.1830270000,0.1881835366,0.1830270000,0,0,418.3375388707,-150.6222842904
2016-12-07,RUB_KZT,20,0.0050000000,True,0.1829910000,0.1880009268,0.1829910000,0,0,386.9066380886,-125.2692319368
2016-12-08,RUB_KZT,20,0.0050000000,True,0.1823670000,0.1878343415,0.1823670000,0,0,402.8985964857,-116.5206809114
2016-12-09,RUB_KZT,20,0.0050000000,True,0.1817000000,0.1876339268,0.1817000000,0,0,389.4469039421,-76.1628344554
2016-12-10,RUB_KZT,20,0.0050000000,True,0.1807530000,0.1873860488,0.1807530000,0,0,449.2351589126,-99.7380131379
2016-12-13,RUB_KZT,20,0.0050000000,True,0.1807530000,0.1867317561,0.1807530000,0,0,302.4303878963,18.3019805899
2016-12-14,RUB_KZT,20,0.0050000000,True,0.1807530000,0.1865470732,0.1807530000,0,0,193.4157271672,119.4911896951
2016-12-15,RUB_KZT,20,0.0050000000,True,0.1807530000,0.1863155122,0.1807530000,0,0,124.2439640053,176.5023296438
2016-12-16,RUB_KZT,20,0.0050000000,True,0.1807530000,0.1860556585,0.1807530000,0,0,176.0936557369,110.8624458299
2016-12-17,RUB_KZT,20,0.0050000000,True,0.1807530000,0.1858250000,0.1807530000,0,0,189.9562015272,84.5957217812
2016-12-20,RUB_KZT,20,0.0050000000,True,0.1807530000,0.1851452195,0.1807530000,0,0,196.5538000944,41.4928084138
2016-12-21,RUB_KZT,20,0.0050000000,True,0.1807530000,0.1849026585,0.1807530000,0,0,200.0618077130,24.8594877014
2016-12-22,RUB_KZT,20,0.0050000000,True,0.1800210000,0.1846368293,0.1800210000,0,0,189.1635602642,62.0043830275
2016-12-23,RUB_KZT,20,0.0050000000,True,0.1800210000,0.1844560244,0.1800210000,0,0,177.2794238009,64.2984903402
2016-12-24,RUB_KZT,20,0.0050000000,True,0.1790830000,0.1841829268,0.1790830000,0,0,276.8457286814,0.0503211283
2016-12-27,RUB_KZT,20,0.0050000000,True,0.1787180000,0.1833189268,0.1787180000,0,0,233.5087517965,17.8883236412
2016-12-28,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1830341463,0.1786800000,0,0,202.1747355607,36.4492830873
2016-12-29,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1827582927,0.1786800000,0,0,166.2080352229,57.9066846922
2016-12-30,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1825126098,0.1786800000,0,0,114.6868931636,96.4103115094
2016-12-31,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1822694146,0.1786800000,0,0,162.7972274371,34.6966952967
2017-01-10,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1812317805,0.1786800000,0,0,115.2884423890,25.8111732140
2017-01-11,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1812246341,0.1786800000,0,0,74.4913093472,66.4166961634
2017-01-12,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1812795366,0.1786800000,0,0,76.1450922239,67.7702849702
2017-01-13,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1813421707,0.1786800000,1,1,22.5035318819,124.5805497194
2017-01-14,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1813507073,0.1786800000,1,1,2.1262547701,145.1721559856
2017-01-17,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1813188780,0.1787130000,1,1,0.0000000000,145.5379647822
2017-01-18,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1813197073,0.1789900000,1,1,0.0000000000,143.7630446047
2017-01-19,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1813512195,0.1792840000,1,1,0.0000000000,130.2014686500
2017-01-20,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1814130000,0.1796200000,1,1,0.0000000000,117.3565290249
2017-01-21,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1814215122,0.1796200000,0,1,0.0000000000,99.2998114350
2017-01-24,RUB_KZT,20,0.0050000000,True,0.1786800000,0.1814541463,0.1800700000,0,1,0.0000000000,96.9471559031
