date,corridor,currency,source,source_file,nominal,value_rub,rub_per_unit,units_per_rub,days_since_previous,same_rate_as_previous
2016-09-02,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.1284000000,0.1912840000,5.2278287782,,
2016-09-03,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.2530000000,0.1925300000,5.1939957409,1,False
2016-09-06,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0193000000,0.1901930000,5.2578170595,3,False
2016-09-07,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0861000000,0.1908610000,5.2394150717,1,False
2016-09-08,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0958000000,0.1909580000,5.2367536317,1,False
2016-09-09,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9656000000,0.1896560000,5.2727042646,1,False
2016-09-10,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0027000000,0.1900270000,5.2624100786,1,False
2016-09-13,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.2555000000,0.1925550000,5.1933213887,3,False
2016-09-14,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.2047000000,0.1920470000,5.2070586888,1,False
2016-09-15,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.1841000000,0.1918410000,5.2126500592,1,False
2016-09-16,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.2004000000,0.1920040000,5.2082248286,1,False
2016-09-17,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.1330000000,0.1913300000,5.2265718915,1,False
2016-09-20,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.1243000000,0.1912430000,5.2289495563,3,False
2016-09-21,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0689000000,0.1906890000,5.2441409835,1,False
2016-09-22,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0180000000,0.1901800000,5.2581764644,1,False
2016-09-23,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8804000000,0.1888040000,5.2964979556,1,False
2016-09-24,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9199000000,0.1891990000,5.2854401979,1,False
2016-09-27,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9668000000,0.1896680000,5.2723706687,3,False
2016-09-28,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9025000000,0.1890250000,5.2903055151,1,False
2016-09-29,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9582000000,0.1895820000,5.2747623720,1,False
2016-09-30,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8585000000,0.1885850000,5.3026486730,1,False
2016-10-01,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8946000000,0.1889460000,5.2925174388,1,False
2016-10-04,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.6793000000,0.1867930000,5.3535196715,3,False
2016-10-05,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.6982000000,0.1869820000,5.3481083741,1,False
2016-10-06,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.7887000000,0.1878870000,5.3223480070,1,False
2016-10-07,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.7450000000,0.1874500000,5.3347559349,1,False
2016-10-08,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8037000000,0.1880370000,5.3181022884,1,False
2016-10-11,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.7719000000,0.1877190000,5.3271112674,3,False
2016-10-12,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8269000000,0.1882690000,5.3115489008,1,False
2016-10-13,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9128000000,0.1891280000,5.2874243898,1,False
2016-10-14,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0984000000,0.1909840000,5.2360407155,1,False
2016-10-15,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0356000000,0.1903560000,5.2533148417,1,False
2016-10-18,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0079000000,0.1900790000,5.2609704386,3,False
2016-10-19,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9328000000,0.1893280000,5.2818389250,1,False
2016-10-20,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8572000000,0.1885720000,5.3030142333,1,False
2016-10-21,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8604000000,0.1886040000,5.3021144833,1,False
2016-10-22,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8414000000,0.1884140000,5.3074612290,1,False
2016-10-25,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8691000000,0.1886910000,5.2996698306,3,False
2016-10-26,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.7933000000,0.1879330000,5.3210452661,1,False
2016-10-27,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.7911000000,0.1879110000,5.3216682366,1,False
2016-10-28,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9309000000,0.1893090000,5.2823690369,1,False
2016-10-29,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8416000000,0.1884160000,5.3074048913,1,False
2016-11-01,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8664000000,0.1886640000,5.3004282746,3,False
2016-11-02,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8030000000,0.1880300000,5.3183002712,1,False
2016-11-03,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.7640000000,0.1876400000,5.3293540823,1,False
2016-11-04,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.7633000000,0.1876330000,5.3295529038,1,False
2016-11-08,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.7883000000,0.1878830000,5.3224613190,4,False
2016-11-09,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.7471000000,0.1874710000,5.3341583498,1,False
2016-11-10,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.7262000000,0.1872620000,5.3401117151,1,False
2016-11-11,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.8109000000,0.1881090000,5.3160667485,1,False
2016-11-12,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0882000000,0.1908820000,5.2388386542,1,False
2016-11-15,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.1473000000,0.1914730000,5.2226684702,3,False
2016-11-16,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0478000000,0.1904780000,5.2499501255,1,False
2016-11-17,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9197000000,0.1891970000,5.2854960702,1,False
2016-11-18,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9917000000,0.1899170000,5.2654580685,1,False
2016-11-19,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0916000000,0.1909160000,5.2379056758,1,False
2016-11-22,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9905000000,0.1899050000,5.2657907901,3,False
2016-11-23,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9209000000,0.1892090000,5.2851608539,1,False
2016-11-24,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.1131000000,0.1911310000,5.2320136451,1,False
2016-11-25,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.2291000000,0.1922910000,5.2004513992,1,False
2016-11-26,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.1094000000,0.1910940000,5.2330266780,1,False
2016-11-29,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0594000000,0.1905940000,5.2467548821,3,False
2016-11-30,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0709000000,0.1907090000,5.2435910209,1,False
2016-12-01,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0920000000,0.1909200000,5.2377959355,1,False
2016-12-02,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.7464000000,0.1874640000,5.3343575300,1,False
2016-12-03,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0280000000,0.1902800000,5.2554130755,1,False
2016-12-06,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.1018000000,0.1910180000,5.2351087332,3,False
2016-12-07,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0356000000,0.1903560000,5.2533148417,1,False
2016-12-08,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,19.0023000000,0.1900230000,5.2625208527,1,False
2016-12-09,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9063000000,0.1890630000,5.2892422103,1,False
2016-12-10,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.9255000000,0.1892550000,5.2838762516,1,False
2016-12-13,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.6390000000,0.1863900000,5.3650946939,3,False
2016-12-14,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.4318000000,0.1843180000,5.4254060916,1,False
2016-12-15,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.3027000000,0.1830270000,5.4636747584,1,False
2016-12-16,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.3993000000,0.1839930000,5.4349893746,1,False
2016-12-17,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.4253000000,0.1842530000,5.4273200436,1,False
2016-12-20,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.4377000000,0.1843770000,5.4236699805,3,False
2016-12-21,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.4443000000,0.1844430000,5.4217292063,1,False
2016-12-22,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.3492000000,0.1834920000,5.4498288754,1,False
2016-12-23,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.3270000000,0.1832700000,5.4564304032,1,False
2016-12-24,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.4182000000,0.1841820000,5.4294122118,1,False
2016-12-27,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.2991000000,0.1829910000,5.4647496325,3,False
2016-12-28,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.2367000000,0.1823670000,5.4834482116,1,False
2016-12-29,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.1700000000,0.1817000000,5.5035773253,1,False
2016-12-30,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.0753000000,0.1807530000,5.5324116336,1,False
2016-12-31,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.1637000000,0.1816370000,5.5054862170,1,False
2017-01-10,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.0764000000,0.1807640000,5.5320749707,10,False
2017-01-11,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.0021000000,0.1800210000,5.5549074830,1,False
2017-01-12,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.0051000000,0.1800510000,5.5539819273,1,False
2017-01-13,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,17.9083000000,0.1790830000,5.5840029484,1,False
2017-01-14,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,17.8718000000,0.1787180000,5.5954072897,1,False
2017-01-17,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,17.8680000000,0.1786800000,5.5965972689,3,False
2017-01-18,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,17.8713000000,0.1787130000,5.5955638370,1,False
2017-01-19,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,17.8990000000,0.1789900000,5.5869042963,1,False
2017-01-20,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,17.9284000000,0.1792840000,5.5777425760,1,False
2017-01-21,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,17.9620000000,0.1796200000,5.5673087629,1,False
2017-01-24,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,17.9695000000,0.1796950000,5.5649851137,3,False
2017-01-25,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.0070000000,0.1800700000,5.5533959016,1,False
2017-01-26,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.0332000000,0.1803320000,5.5453275070,1,False
2017-01-27,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.1572000000,0.1815720000,5.5074570969,1,False
2017-01-28,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.3434000000,0.1834340000,5.4515520569,1,False
2017-01-31,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.4150000000,0.1841500000,5.4303556883,3,False
2017-02-01,RUB_KZT,KZT,CBR,KZT_RC_F02_09_2016_T02_09_2026.dbf,100,18.5743000000,0.1857430000,5.3837829689,1,False
