date,corridor,currency,source,source_file,nominal,value_rub,rub_per_unit,units_per_rub,days_since_previous,same_rate_as_previous
2016-09-02,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,83.0765000000,8.3076500000,0.1203709834,,
2016-09-03,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,83.5363000000,8.3536300000,0.1197084381,1,False
2016-09-06,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,82.5024000000,8.2502400000,0.1212085951,3,False
2016-09-07,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,82.5868000000,8.2586800000,0.1210847254,1,False
2016-09-08,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,81.3397000000,8.1339700000,0.1229411960,1,False
2016-09-09,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,81.2356000000,8.1235600000,0.1230987400,1,False
2016-09-10,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,81.4741000000,8.1474100000,0.1227383917,1,False
2016-09-13,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,82.6176000000,8.2617600000,0.1210395848,3,False
2016-09-14,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,82.0382000000,8.2038200000,0.1218944345,1,False
2016-09-15,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,82.6112000000,8.2611200000,0.1210489619,1,False
2016-09-16,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,82.9205000000,8.2920500000,0.1205974397,1,False
2016-09-17,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,82.7422000000,8.2742200000,0.1208573134,1,False
2016-09-20,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,82.4347000000,8.2434700000,0.1213081384,3,False
2016-09-21,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,82.0676000000,8.2067600000,0.1218507669,1,False
2016-09-22,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,81.8576000000,8.1857600000,0.1221633666,1,False
2016-09-23,RUB_TJS,TJS,CBR,TJS_RC_F02_09_2016_T02_09_2026.dbf,10,80.8033000000,8.0803300000,0.1237573218,1,False
