date,corridor,currency,source,source_file,nominal,value_rub,rub_per_unit,units_per_rub,days_since_previous,same_rate_as_previous
2016-09-02,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,65.2566000000,65.2566000000,0.0153241205,,
2016-09-03,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,65.8684000000,65.8684000000,0.0151817867,1,False
2016-09-06,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,64.7644000000,64.7644000000,0.0154405816,3,False
2016-09-07,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,64.8306000000,64.8306000000,0.0154248148,1,False
2016-09-08,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,64.3804000000,64.3804000000,0.0155326776,1,False
2016-09-09,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,63.9730000000,63.9730000000,0.0156315946,1,False
2016-09-10,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,64.1617000000,64.1617000000,0.0155856220,1,False
2016-09-13,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,65.0539000000,65.0539000000,0.0153718686,3,False
2016-09-14,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,64.8102000000,64.8102000000,0.0154296700,1,False
2016-09-15,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,64.9737000000,64.9737000000,0.0153908428,1,False
2016-09-16,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,65.2170000000,65.2170000000,0.0153334253,1,False
2016-09-17,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,64.9940000000,64.9940000000,0.0153860356,1,False
2016-09-20,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,64.9173000000,64.9173000000,0.0154042143,3,False
2016-09-21,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,64.7513000000,64.7513000000,0.0154437054,1,False
2016-09-22,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,64.4424000000,64.4424000000,0.0155177337,1,False
2016-09-23,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,63.7942000000,63.7942000000,0.0156754062,1,False
2016-09-24,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,63.8642000000,63.8642000000,0.0156582248,1,False
2016-09-27,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,64.1506000000,64.1506000000,0.0155883187,3,False
2016-09-28,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,63.6921000000,63.6921000000,0.0157005343,1,False
2016-09-29,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,63.9509000000,63.9509000000,0.0156369965,1,False
2016-09-30,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,63.1581000000,63.1581000000,0.0158332819,1,False
2016-10-01,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,63.3960000000,63.3960000000,0.0157738659,1,False
2016-10-04,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,62.5477000000,62.5477000000,0.0159877981,3,False
2016-10-05,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,62.4323000000,62.4323000000,0.0160173500,1,False
2016-10-06,RUB_USD,USD,CBR,USD_RC_F02_09_2016_T02_09_2026.dbf,1,62.4583000000,62.4583000000,0.0160106823,1,False
