date,corridor,horizon_calendar_days,epsilon,has_full_window,window_min_rub_per_unit,window_mean_rub_per_unit,future_min_rub_per_unit,target_good_now,message_hit,future_regret_bps,moment_advantage_bps
2016-09-02,RUB_UZS,5,0.0050000000,False,,,,,,,
2016-09-03,RUB_UZS,5,0.0050000000,False,,,,,,,
2016-09-06,RUB_UZS,5,0.0050000000,False,,,,,,,
2016-09-07,RUB_UZS,5,0.0050000000,True,0.0214531000,0.0217136455,0.0214531000,0,0,112.4118541734,7.6658958904
2016-09-08,RUB_UZS,5,0.0050000000,True,0.0214531000,0.0217141273,0.0214531000,0,0,53.2733679525,67.2959455805
2016-09-09,RUB_UZS,5,0.0050000000,True,0.0214531000,0.0216918818,0.0215308000,1,1,0.0000000000,110.0788858169
2016-09-10,RUB_UZS,5,0.0050000000,True,0.0214531000,0.0216759727,0.0215308000,1,1,0.0000000000,66.9740311539
2016-09-13,RUB_UZS,5,0.0050000000,True,0.0214531000,0.0217092182,0.0217849000,0,1,20.7510696192,-55.7283165007
2016-09-14,RUB_UZS,5,0.0050000000,True,0.0214531000,0.0217379000,0.0218546000,0,1,0.0000000000,-21.6212237613
2016-09-15,RUB_UZS,5,0.0050000000,True,0.0215308000,0.0217746818,0.0218577000,0,1,0.0000000000,-36.7023419610
2016-09-16,RUB_UZS,5,0.0050000000,True,0.0215308000,0.0217762364,0.0215479000,0,0,183.7257188673,-80.3461321056
2016-09-17,RUB_UZS,5,0.0050000000,True,0.0215308000,0.0217782182,0.0215479000,0,0,153.3575524939,-48.3427144052
2016-09-20,RUB_UZS,5,0.0050000000,True,0.0213716000,0.0216913545,0.0213716000,0,0,222.3930239687,-76.6874443903
2016-09-21,RUB_UZS,5,0.0050000000,True,0.0213716000,0.0216508818,0.0213716000,0,0,81.8177177358,47.5647223271
2016-09-22,RUB_UZS,5,0.0050000000,True,0.0213716000,0.0216110091,0.0213716000,0,0,83.9805870289,27.0274704265
2016-09-23,RUB_UZS,5,0.0050000000,True,0.0213716000,0.0215646182,0.0213732000,1,1,0.0000000000,89.5068858585
2016-09-24,RUB_UZS,5,0.0050000000,True,0.0212461000,0.0215066727,0.0212461000,0,0,76.2749072837,45.2290916899
2016-09-27,RUB_UZS,5,0.0050000000,True,0.0209897000,0.0213088727,0.0209897000,0,0,243.0668538438,-95.6067809568
2016-09-28,RUB_UZS,5,0.0050000000,True,0.0209897000,0.0212642545,0.0209897000,0,0,179.4303145996,-51.2340812666
2016-09-29,RUB_UZS,5,0.0050000000,True,0.0207869000,0.0212111000,0.0207869000,0,0,216.1337845534,-16.5007943954
2016-09-30,RUB_UZS,5,0.0050000000,True,0.0205813000,0.0211358182,0.0205813000,0,0,194.5716232247,69.1329668723
2016-10-01,RUB_UZS,5,0.0050000000,True,0.0204848000,0.0210517636,0.0204848000,0,0,273.9556922960,-4.7674692770
2016-10-04,RUB_UZS,5,0.0050000000,True,0.0204608000,0.0207877273,0.0204608000,0,0,156.8776489039,0.3979620843
2016-10-05,RUB_UZS,5,0.0050000000,True,0.0204608000,0.0207163364,0.0204608000,0,0,58.5482938396,65.1835156883
2016-10-06,RUB_UZS,5,0.0050000000,True,0.0204608000,0.0206696727,0.0204608000,1,1,11.7160040615,89.4415357766
2016-10-07,RUB_UZS,5,0.0050000000,True,0.0203917000,0.0206087545,0.0203917000,1,1,37.8617630391,67.7161471096
2016-10-08,RUB_UZS,5,0.0050000000,True,0.0203917000,0.0205595909,0.0203917000,1,1,33.7718955271,48.0510091508
2016-10-11,RUB_UZS,5,0.0050000000,True,0.0203917000,0.0205336182,0.0203917000,1,1,41.3646930124,27.8656110733
2016-10-12,RUB_UZS,5,0.0050000000,True,0.0203917000,0.0205520455,0.0205210000,1,1,0.0000000000,78.0192194982
2016-10-13,RUB_UZS,5,0.0050000000,True,0.0203917000,0.0205640818,0.0206016000,0,1,0.0000000000,20.9500324706
2016-10-14,RUB_UZS,5,0.0050000000,True,0.0203917000,0.0205663091,0.0204853000,0,0,136.7402849398,-98.7006993786
2016-10-15,RUB_UZS,5,0.0050000000,True,0.0203857000,0.0205594818,0.0203857000,0,0,145.8851963746,-62.2672219807
2016-10-18,RUB_UZS,5,0.0050000000,True,0.0203321000,0.0205310455,0.0203321000,0,0,130.8150823237,-34.3648089479
2016-10-19,RUB_UZS,5,0.0050000000,True,0.0203321000,0.0205147727,0.0203321000,0,0,74.7853338736,14.3665872708
2016-10-20,RUB_UZS,5,0.0050000000,True,0.0202720000,0.0204695636,0.0202720000,0,0,55.7743908720,40.9699189750
2016-10-21,RUB_UZS,5,0.0050000000,True,0.0200933000,0.0204155455,0.0200933000,0,0,117.4497469519,40.8734876721
2016-10-22,RUB_UZS,5,0.0050000000,True,0.0200933000,0.0203701364,0.0200933000,0,0,122.2593648609,13.8125553674
2016-10-25,RUB_UZS,5,0.0050000000,True,0.0200933000,0.0203240636,0.0200933000,0,0,88.1511444357,25.6167453985
2016-10-26,RUB_UZS,5,0.0050000000,True,0.0200933000,0.0203262727,0.0201880000,1,1,0.0000000000,114.6165509037
2016-10-27,RUB_UZS,5,0.0050000000,True,0.0200933000,0.0203304818,0.0203784000,1,1,0.0000000000,70.0828536461
2016-10-28,RUB_UZS,5,0.0050000000,True,0.0200933000,0.0203333545,0.0203736000,0,1,36.1900663159,-56.1862305062
2016-10-29,RUB_UZS,5,0.0050000000,True,0.0200933000,0.0203420091,0.0203736000,0,1,17.8343949045,-33.4238908198
2016-11-01,RUB_UZS,5,0.0050000000,True,0.0201880000,0.0204100636,0.0203736000,0,1,2.3554351666,15.5137372072
2016-11-02,RUB_UZS,5,0.0050000000,True,0.0203736000,0.0204370909,0.0204372000,1,1,0.0000000000,31.0665100886
2016-11-03,RUB_UZS,5,0.0050000000,True,0.0203736000,0.0204463091,0.0204853000,1,1,0.0000000000,4.4551272646
2016-11-04,RUB_UZS,5,0.0050000000,True,0.0203736000,0.0204587545,0.0204853000,0,1,0.0000000000,-12.9751077889
2016-11-08,RUB_UZS,5,0.0050000000,True,0.0203583000,0.0205711000,0.0203583000,0,0,92.8025694681,10.7432271488
2016-11-09,RUB_UZS,5,0.0050000000,True,0.0203583000,0.0206134273,0.0203583000,0,0,91.7900023848,32.2737562498
2016-11-10,RUB_UZS,5,0.0050000000,True,0.0203583000,0.0206585182,0.0203583000,0,0,138.3459520730,7.0761037600
2016-11-11,RUB_UZS,5,0.0050000000,True,0.0203583000,0.0207063273,0.0209028000,1,1,0.0000000000,168.0777417179
2016-11-12,RUB_UZS,5,0.0050000000,True,0.0203583000,0.0207265545,0.0207078000,0,0,93.2889373672,-85.0336480957
2016-11-15,RUB_UZS,5,0.0050000000,True,0.0203583000,0.0207924182,0.0207067000,0,0,130.8784489045,-90.8416791785
2016-11-16,RUB_UZS,5,0.0050000000,True,0.0203583000,0.0208065636,0.0207067000,0,0,144.9227078891,-98.3518312840
2016-11-17,RUB_UZS,5,0.0050000000,True,0.0203826000,0.0208087727,0.0203826000,0,0,157.0422739258,48.5241146108
2016-11-18,RUB_UZS,5,0.0050000000,True,0.0201514000,0.0207404636,0.0201514000,0,0,268.1740692626,16.2791135992
2016-11-19,RUB_UZS,5,0.0050000000,True,0.0201514000,0.0206816545,0.0201514000,0,0,311.5940287026,-56.9806706163
2016-11-22,RUB_UZS,5,0.0050000000,True,0.0201514000,0.0205487455,0.0201514000,0,0,113.4300825214,80.8543056378
2016-11-23,RUB_UZS,5,0.0050000000,True,0.0201514000,0.0205281273,0.0202559000,1,1,0.0000000000,183.5176037844
2016-11-24,RUB_UZS,5,0.0050000000,True,0.0201514000,0.0205161909,0.0204713000,0,1,0.0000000000,126.8709724160
2016-11-25,RUB_UZS,5,0.0050000000,True,0.0201514000,0.0204990455,0.0204810000,0,1,0.0000000000,13.5349983037
2016-11-26,RUB_UZS,5,0.0050000000,True,0.0201514000,0.0204909545,0.0204810000,0,1,0.0000000000,4.8580193921
2016-11-29,RUB_UZS,5,0.0050000000,True,0.0202033000,0.0204547545,0.0202033000,0,0,180.8470309204,-58.9816192990
2016-11-30,RUB_UZS,5,0.0050000000,True,0.0202033000,0.0204647636,0.0202033000,0,0,197.7594379673,-71.4087717958
2016-12-01,RUB_UZS,5,0.0050000000,True,0.0202033000,0.0204485909,0.0202033000,0,0,244.8999299872,-128.0817304593
2016-12-02,RUB_UZS,5,0.0050000000,True,0.0202033000,0.0204300909,0.0202775000,1,1,0.0000000000,111.0082721120
2016-12-03,RUB_UZS,5,0.0050000000,True,0.0201169000,0.0203969909,0.0201169000,0,0,122.3116959639,15.1938632659
2016-12-06,RUB_UZS,5,0.0050000000,True,0.0199379000,0.0202309818,0.0199379000,0,0,175.1801078183,-30.8527694697
2016-12-07,RUB_UZS,5,0.0050000000,True,0.0199379000,0.0201607455,0.0199379000,0,0,167.4762667982,-57.9118196387
2016-12-08,RUB_UZS,5,0.0050000000,True,0.0192216000,0.0200715000,0.0192216000,0,0,445.0486904046,-22.6191365867
2016-12-09,RUB_UZS,5,0.0050000000,True,0.0190543000,0.0199522545,0.0190543000,0,0,456.3394672784,-6.5884557134
2016-12-10,RUB_UZS,5,0.0050000000,True,0.0190025000,0.0198283000,0.0190025000,0,0,469.1567316518,-55.2745318560
2016-12-13,RUB_UZS,5,0.0050000000,True,0.0190025000,0.0195520818,0.0190025000,0,0,113.9863486911,169.0264091850
2016-12-14,RUB_UZS,5,0.0050000000,True,0.0190025000,0.0194803182,0.0190025000,1,1,27.1854646983,218.6915931465
2016-12-15,RUB_UZS,5,0.0050000000,True,0.0190025000,0.0194111909,0.0192050000,1,1,0.0000000000,210.5439645640
2016-12-16,RUB_UZS,5,0.0050000000,True,0.0190025000,0.0193471364,0.0192050000,0,1,20.0067555278,53.5667716857
2016-12-17,RUB_UZS,5,0.0050000000,True,0.0190025000,0.0192679455,0.0190668000,0,0,134.8855258052,-30.9086122311
2016-12-20,RUB_UZS,5,0.0050000000,True,0.0189868000,0.0191543273,0.0189868000,0,0,113.6162457693,-26.4549762313
2016-12-21,RUB_UZS,5,0.0050000000,True,0.0189868000,0.0191529000,0.0189868000,0,0,128.1631337316,-41.9779772254
2016-12-22,RUB_UZS,5,0.0050000000,True,0.0189868000,0.0191311455,0.0189868000,1,1,41.9577485472,33.6338745102
2016-12-23,RUB_UZS,5,0.0050000000,True,0.0189868000,0.0191003455,0.0189868000,1,1,1.8956946668,57.5620241043
2016-12-24,RUB_UZS,5,0.0050000000,True,0.0189288000,0.0190641000,0.0189288000,1,1,30.5475382898,40.5474163480
2016-12-27,RUB_UZS,5,0.0050000000,True,0.0188059000,0.0189633273,0.0188059000,0,0,104.3453552373,-21.5535631933
2016-12-28,RUB_UZS,5,0.0050000000,True,0.0188059000,0.0189505000,0.0188059000,0,0,96.2677803114,-20.1577794781
2016-12-29,RUB_UZS,5,0.0050000000,True,0.0188059000,0.0189446182,0.0188059000,0,0,64.9275178564,8.3496968196
2016-12-30,RUB_UZS,5,0.0050000000,True,0.0188059000,0.0189390636,0.0189257000,1,1,0.0000000000,70.3116262348
2016-12-31,RUB_UZS,5,0.0050000000,True,0.0188059000,0.0189335091,0.0189257000,0,1,0.0000000000,4.1244815589
2017-01-10,RUB_UZS,5,0.0050000000,True,0.0183411000,0.0186723909,0.0183411000,0,0,201.0952317350,-24.1581761697
2017-01-11,RUB_UZS,5,0.0050000000,True,0.0183411000,0.0186192455,0.0183411000,0,0,76.1826435594,73.7653171181
2017-01-12,RUB_UZS,5,0.0050000000,True,0.0183411000,0.0185737818,0.0183411000,0,0,107.1214744575,18.3494231360
2017-01-13,RUB_UZS,5,0.0050000000,True,0.0182774000,0.0185148455,0.0182774000,1,1,37.6638595917,90.9245799317
2017-01-14,RUB_UZS,5,0.0050000000,True,0.0182102000,0.0184498000,0.0182102000,0,0,71.3697651722,58.9166278225
2017-01-17,RUB_UZS,5,0.0050000000,True,0.0182102000,0.0183402545,0.0182102000,0,0,116.9025703369,-46.5344983811
2017-01-18,RUB_UZS,5,0.0050000000,True,0.0182102000,0.0183223727,0.0182102000,1,1,36.7667173668,24.5452529223
2017-01-19,RUB_UZS,5,0.0050000000,True,0.0182102000,0.0183189364,0.0182341000,1,1,0.0000000000,59.3573564960
2017-01-20,RUB_UZS,5,0.0050000000,True,0.0181091000,0.0182978455,0.0181091000,0,0,68.5528762045,34.8376833239
2017-01-21,RUB_UZS,5,0.0050000000,True,0.0180883000,0.0182748636,0.0180883000,0,0,138.8540587690,-37.2841981161
2017-01-24,RUB_UZS,5,0.0050000000,True,0.0180883000,0.0182934273,0.0180883000,0,0,120.3799286678,-8.3487511908
2017-01-25,RUB_UZS,5,0.0050000000,True,0.0180883000,0.0183190091,0.0180883000,1,1,11.4859380091,114.5853958953
2017-01-26,RUB_UZS,5,0.0050000000,True,0.0180883000,0.0183390455,0.0182651000,1,1,0.0000000000,136.7276476668
2017-01-27,RUB_UZS,5,0.0050000000,True,0.0180883000,0.0183496182,0.0184545000,0,1,0.0000000000,46.0599130623
2017-01-28,RUB_UZS,5,0.0050000000,True,0.0180883000,0.0183680273,0.0184545000,0,1,20.0631638149,-67.2759929185
2017-01-31,RUB_UZS,5,0.0050000000,True,0.0180883000,0.0183946636,0.0182898000,0,0,89.2465252377,-32.5291969558
2017-02-01,RUB_UZS,5,0.0050000000,True,0.0182651000,0.0184129818,0.0182898000,0,0,91.8236336156,-25.1551770786
2017-02-02,RUB_UZS,5,0.0050000000,True,0.0181210000,0.0183998818,0.0181210000,0,0,228.8964978027,-79.1408245211
2017-02-03,RUB_UZS,5,0.0050000000,True,0.0179646000,0.0183519727,0.0179646000,0,0,275.8441502203,-66.6017079165
2017-02-04,RUB_UZS,5,0.0050000000,True,0.0179646000,0.0183153727,0.0179646000,0,0,177.8040219139,13.9624389050
2017-02-07,RUB_UZS,5,0.0050000000,True,0.0179135000,0.0181674455,0.0179135000,0,0,114.5080293582,25.5652092980
2017-02-08,RUB_UZS,5,0.0050000000,True,0.0179135000,0.0181099909,0.0179135000,1,1,28.4448303887,80.2821546520
2017-02-09,RUB_UZS,5,0.0050000000,True,0.0175448000,0.0180255000,0.0175448000,0,0,300.8458179004,-35.2278716263
2017-02-10,RUB_UZS,5,0.0050000000,True,0.0174472000,0.0179489000,0.0174472000,0,0,280.7611747404,-1.2814155742
2017-02-11,RUB_UZS,5,0.0050000000,True,0.0171516000,0.0178454273,0.0171516000,0,0,425.3216847629,-38.1457536614
2017-02-14,RUB_UZS,5,0.0050000000,True,0.0171516000,0.0176448636,0.0171516000,0,0,224.1119875975,56.7097816259
2017-02-15,RUB_UZS,5,0.0050000000,True,0.0171516000,0.0175857273,0.0171516000,0,0,169.4254665505,78.7725583247
2017-02-16,RUB_UZS,5,0.0050000000,True,0.0171516000,0.0175528091,0.0172922000,1,1,0.0000000000,228.5725827878
2017-02-17,RUB_UZS,5,0.0050000000,True,0.0171516000,0.0175182182,0.0174385000,0,1,0.0000000000,129.0189330173
2017-02-18,RUB_UZS,5,0.0050000000,True,0.0171516000,0.0174706909,0.0173907000,0,1,27.4106144450,18.4256645936
2017-02-21,RUB_UZS,5,0.0050000000,True,0.0171516000,0.0174040182,0.0173907000,0,0,112.7971300408,-106.3443029353
2017-02-22,RUB_UZS,5,0.0050000000,True,0.0172922000,0.0174257545,0.0173907000,0,0,81.1612388068,-61.5442242491
2017-02-23,RUB_UZS,5,0.0050000000,True,0.0172947000,0.0174259818,0.0172947000,0,0,55.2019182667,20.2466745059
2017-02-28,RUB_UZS,5,0.0050000000,True,0.0172947000,0.0174498909,0.0173385000,1,1,0.0000000000,88.9351743798
2017-03-01,RUB_UZS,5,0.0050000000,True,0.0172947000,0.0174761909,0.0174888000,1,1,0.0000000000,78.7877116971
2017-03-02,RUB_UZS,5,0.0050000000,True,0.0172947000,0.0174878182,0.0175133000,0,1,0.0000000000,-0.5614297745
2017-03-03,RUB_UZS,5,0.0050000000,True,0.0172947000,0.0175007818,0.0175186000,0,1,0.0000000000,-7.1529271939
2017-03-04,RUB_UZS,5,0.0050000000,True,0.0172947000,0.0175137455,0.0175186000,0,0,91.2895927602,-94.9280357454
2017-03-07,RUB_UZS,5,0.0050000000,True,0.0174888000,0.0176465727,0.0175333000,1,1,0.0000000000,72.5198763808
2017-03-08,RUB_UZS,5,0.0050000000,True,0.0175133000,0.0176816182,0.0175333000,1,1,0.0000000000,83.8826968737
2017-03-10,RUB_UZS,5,0.0050000000,True,0.0168344000,0.0175694455,0.0168344000,0,0,508.5586703051,-95.0255065742
2017-03-11,RUB_UZS,5,0.0050000000,True,0.0168344000,0.0174962545,0.0168344000,0,0,581.7850209519,-216.0722190931
2017-03-14,RUB_UZS,5,0.0050000000,True,0.0165527000,0.0172257182,0.0165527000,0,0,334.1897810219,58.4696561009
2017-03-15,RUB_UZS,5,0.0050000000,True,0.0165527000,0.0171365727,0.0165527000,0,0,167.3359311885,176.3320659748
2017-03-16,RUB_UZS,5,0.0050000000,True,0.0163764000,0.0170129364,0.0163764000,0,0,295.4091579802,81.1361194129
2017-03-17,RUB_UZS,5,0.0050000000,True,0.0163755000,0.0168766818,0.0163755000,0,0,165.2192713776,133.9610597732
2017-03-18,RUB_UZS,5,0.0050000000,True,0.0163755000,0.0167522182,0.0163755000,0,0,107.0520217246,119.0995602211
