date,corridor,currency,source,source_file,nominal,value_rub,rub_per_unit,units_per_rub,days_since_previous,same_rate_as_previous
2016-09-02,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.8249000000,0.0218249000,45.8192248304,,
2016-09-03,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,22.0296000000,0.0220296000,45.3934706032,1,False
2016-09-06,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.6259000000,0.0216259000,46.2408500918,3,False
2016-09-07,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.6970000000,0.0216970000,46.0893211043,1,False
2016-09-08,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.5680000000,0.0215680000,46.3649851632,1,False
2016-09-09,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.4531000000,0.0214531000,46.6133099645,1,False
2016-09-10,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.5308000000,0.0215308000,46.4450926115,1,False
2016-09-13,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.8302000000,0.0218302000,45.8081007045,3,False
2016-09-14,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.7849000000,0.0217849000,45.9033550762,1,False
2016-09-15,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.8546000000,0.0218546000,45.7569573454,1,False
2016-09-16,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.9512000000,0.0219512000,45.5555960494,1,False
2016-09-17,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.8835000000,0.0218835000,45.6965293486,1,False
2016-09-20,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.8577000000,0.0218577000,45.7504677985,3,False
2016-09-21,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.5479000000,0.0215479000,46.4082346772,1,False
2016-09-22,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.5526000000,0.0215526000,46.3981143806,1,False
2016-09-23,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.3716000000,0.0213716000,46.7910685208,1,False
2016-09-24,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.4094000000,0.0214094000,46.7084551646,1,False
2016-09-27,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.5126000000,0.0215126000,46.4843858948,3,False
2016-09-28,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.3732000000,0.0213732000,46.7875657365,1,False
2016-09-29,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,21.2461000000,0.0212461000,47.0674617930,1,False
2016-09-30,RUB_UZS,UZS,CBR,UZS_RC_F02_09_2016_T02_09_2026.dbf,1000,20.9897000000,0.0209897000,47.6424150893,1,False
