policy,corridor,horizon_days,test_year,threshold,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift,wait_days_mean,waiting_cost_bps_mean,waiting_cost_bps_median
fast,RUB_TJS,1,2022,0.9370293244181742,4,0.07909604519774012,1.0,0.8591666666666666,1.1639185257032008,,,
slow,RUB_TJS,1,2022,0.9370293244181742,0,0.0,,,,,,
fast,RUB_TJS,1,2023,0.8235465921905283,41,0.8107344632768362,0.9024390243902439,0.8020325203252031,1.1251900658895087,,,
slow,RUB_TJS,1,2023,0.8235465921905283,21,0.4152542372881356,0.8571428571428571,0.7985714285714285,1.0733452593917712,1.4761904761904763,-4.24573425534348,-3.023319490714771
fast,RUB_TJS,1,2024,0.868940466525441,47,0.9293785310734464,0.9787234042553191,0.8527659574468085,1.1477045908183632,,,
slow,RUB_TJS,1,2024,0.868940466525441,16,0.3163841807909605,0.875,0.835,1.0479041916167666,1.875,1.8419758018948413,2.1829889149282966
fast,RUB_TJS,1,2025,0.8943797586499477,48,0.9464788732394366,0.9791666666666666,0.762013888888889,1.2849722045019591,,,
slow,RUB_TJS,1,2025,0.8943797586499477,3,0.059154929577464786,1.0,0.65,1.5384615384615383,1.0,-47.38520182156888,-36.94315427772654
fast,RUB_TJS,1,2026,0.8992583021359789,31,0.9393939393939394,1.0,0.8259139784946237,1.21077984637417,,,
slow,RUB_TJS,1,2026,0.8992583021359789,2,0.06060606060606061,1.0,0.7483333333333333,1.3363028953229399,2.0,25.55444981352739,25.55444981352739
fast,RUB_TJS,3,2022,0.8156630019596919,4,0.07909604519774012,1.0,0.44916666666666666,2.226345083487941,,,
slow,RUB_TJS,3,2022,0.8156630019596919,0,0.0,,,,,,
fast,RUB_TJS,3,2023,0.7285220855646849,32,0.632768361581921,0.84375,0.7165625,1.1774967291757523,,,
slow,RUB_TJS,3,2023,0.7285220855646849,17,0.3361581920903955,0.8823529411764706,0.6888235294117647,1.2809564474807855,1.0,-12.323941012758985,-3.023319490714771
fast,RUB_TJS,3,2024,0.7725365145816705,34,0.672316384180791,0.8823529411764706,0.6744117647058823,1.3083296990841693,,,
slow,RUB_TJS,3,2024,0.7725365145816705,14,0.2768361581920904,0.7857142857142857,0.7171428571428572,1.095617529880478,1.0,26.125790693964607,6.9480703217328355
fast,RUB_TJS,3,2025,0.7730577891484038,43,0.847887323943662,0.8604651162790697,0.604341085271318,1.4238070805541299,,,
slow,RUB_TJS,3,2025,0.7730577891484038,18,0.3549295774647887,0.7777777777777778,0.45259259259259255,1.7184942716857612,1.0,10.242416748718743,3.015920542855932
fast,RUB_TJS,3,2026,0.8119568195903407,26,0.7982456140350878,0.8461538461538461,0.5556410256410256,1.5228426395939088,,,
slow,RUB_TJS,3,2026,0.8119568195903407,8,0.2456140350877193,0.75,0.48333333333333334,1.5517241379310345,1.0,31.265482237022717,14.585288834897403
fast,RUB_TJS,5,2022,0.5712356757264306,2,0.03954802259887006,0.5,0.6366666666666667,0.7853403141361256,,,
slow,RUB_TJS,5,2022,0.5712356757264306,1,0.01977401129943503,1.0,0.5433333333333333,1.8404907975460123,1.0,15.689853894482741,15.689853894482741
fast,RUB_TJS,5,2023,0.5027313314139858,30,0.5932203389830508,0.6333333333333333,0.685,0.924574209245742,,,
slow,RUB_TJS,5,2023,0.5027313314139858,24,0.4745762711864407,0.625,0.690138888888889,0.9056148118333668,1.5,-15.157012050579695,-5.139281716585176
fast,RUB_TJS,5,2024,0.6193860632447423,28,0.5536723163841808,0.7857142857142857,0.5854761904761904,1.3420089467263117,,,
slow,RUB_TJS,5,2024,0.6193860632447423,13,0.2570621468926554,0.5384615384615384,0.7066666666666667,0.7619738751814223,1.0,25.179565699718566,25.735968383238106
fast,RUB_TJS,5,2025,0.6287340747308052,25,0.49295774647887325,0.6,0.5049333333333333,1.18827567995775,,,
slow,RUB_TJS,5,2025,0.6287340747308052,12,0.23661971830985915,0.5833333333333334,0.3705555555555556,1.5742128935532234,1.0,-2.792109931526825,3.013689847219947
fast,RUB_TJS,5,2026,0.5924833206436051,26,0.8017621145374448,0.6538461538461539,0.46615384615384614,1.4026402640264026,,,
slow,RUB_TJS,5,2026,0.5924833206436051,21,0.6475770925110131,0.7619047619047619,0.4074603174603174,1.8698870276587458,1.4761904761904763,6.998816220034224,-9.289668648220228
fast,RUB_TJS,10,2022,0.401874242197984,16,0.3163841807909605,0.4375,0.2075,2.108433734939759,,,
slow,RUB_TJS,10,2022,0.401874242197984,9,0.17796610169491525,0.2222222222222222,0.3781481481481481,0.5876591576885406,1.6666666666666667,6.824645808665893,14.891080956349612
fast,RUB_TJS,10,2023,0.34819589498248443,40,0.7909604519774012,0.625,0.54525,1.1462631820265934,,,
slow,RUB_TJS,10,2023,0.34819589498248443,31,0.612994350282486,0.5806451612903226,0.6105376344086021,0.9510390982740403,2.032258064516129,6.818027962814873,10.522051229380214
fast,RUB_TJS,10,2024,0.4582364433563903,40,0.7909604519774012,0.55,0.5161666666666668,1.0655473038424281,,,
slow,RUB_TJS,10,2024,0.4582364433563903,27,0.5338983050847458,0.5555555555555556,0.4683950617283951,1.1860832894043225,1.2222222222222223,28.52646834516269,21.478992194305935
fast,RUB_TJS,10,2025,0.4937643306531201,25,0.49295774647887325,0.48,0.3757333333333333,1.27750177430802,,,
slow,RUB_TJS,10,2025,0.4937643306531201,13,0.2563380281690141,0.6923076923076923,0.21948717948717952,3.154205607476635,1.3076923076923077,41.10464040860607,22.521252363076893
fast,RUB_TJS,10,2026,0.42836191058041023,29,0.918552036199095,0.5172413793103449,0.42781609195402304,1.2090274046211713,,,
slow,RUB_TJS,10,2026,0.42836191058041023,25,0.7918552036199095,0.56,0.36626666666666663,1.528940662540954,1.64,22.029272645191924,13.572055275279382
fast,RUB_TJS,20,2022,0.4155764045421381,1,0.01977401129943503,0.0,0.4866666666666667,0.0,,,
slow,RUB_TJS,20,2022,0.4155764045421381,0,0.0,,,,,,
fast,RUB_TJS,20,2023,0.017869265887944682,51,1.0084745762711864,0.4117647058823529,0.4422222222222223,0.9311262193319537,,,
slow,RUB_TJS,20,2023,0.017869265887944682,51,1.0084745762711864,0.43137254901960786,0.4462091503267974,0.9667496704262487,2.7254901960784315,17.938172408691422,11.089983497911682
fast,RUB_TJS,20,2024,0.34939670379283105,21,0.4152542372881356,0.2857142857142857,0.38238095238095243,0.74719800747198,,,
slow,RUB_TJS,20,2024,0.34939670379283105,12,0.23728813559322035,0.25,0.5566666666666666,0.44910179640718567,1.8333333333333333,2.8801622980102315,-4.7526269947145705
fast,RUB_TJS,20,2025,0.33519427917636985,34,0.6704225352112676,0.4411764705882353,0.3385294117647059,1.3032145960034751,,,
slow,RUB_TJS,20,2025,0.33519427917636985,25,0.49295774647887325,0.52,0.2729333333333333,1.9052271617000491,1.88,31.85480560499423,22.521252363076893
fast,RUB_TJS,20,2026,0.3453852666930682,22,0.7264150943396227,0.5909090909090909,0.24499999999999994,2.4118738404452698,,,
slow,RUB_TJS,20,2026,0.3453852666930682,15,0.49528301886792453,0.6,0.22066666666666662,2.7190332326283992,2.066666666666667,22.659587072671496,33.415958674714034
fast,RUB_UZS,1,2022,0.9444335270618055,16,0.3163841807909605,0.9375,0.6010416666666667,1.559792027729636,,,
slow,RUB_UZS,1,2022,0.9444335270618055,1,0.01977401129943503,1.0,1.0,1.0,3.0,-38.497831761499235,-38.497831761499235
fast,RUB_UZS,1,2023,0.9328458628469508,24,0.4745762711864407,0.9583333333333334,0.8259722222222222,1.1602488649739364,,,
slow,RUB_UZS,1,2023,0.9328458628469508,1,0.01977401129943503,1.0,0.15,6.666666666666667,1.0,-163.4951558617015,-163.4951558617015
