policy,corridor,horizon_days,folds,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift,median_fold_lift,min_fold_lift,folds_lift_ge_1_3,wait_days_mean,waiting_cost_bps_mean,waiting_cost_bps_median
fast,RUB_AMD,1,5,177,0.7518203883495146,0.9548022598870056,0.788436911487759,1.211006544690202,1.1970652593641395,1.0771470160116448,1,,,
slow,RUB_AMD,1,4,67,0.36244204018547144,0.9402985074626866,0.7657213930348258,1.227990383990644,1.1783774135768108,1.0309278350515463,1,1.4179104477611941,8.37241008264395,4.379905945188496
fast,RUB_AMD,3,4,118,0.6398140975987607,0.8389830508474576,0.6482768361581921,1.2941740380844482,1.3351411392478187,1.048246203467276,3,,,
slow,RUB_AMD,3,3,57,0.3753527751646284,0.8596491228070176,0.6358479532163743,1.3519727766025935,1.2107870115575123,0.8366904245429192,1,1.0,6.02707887229541,2.4559064371535992
fast,RUB_AMD,5,5,159,0.677007299270073,0.6037735849056604,0.5745073375262054,1.050941468398774,1.024003523452984,0.0,1,,,
slow,RUB_AMD,5,5,134,0.5705596107055961,0.6417910447761194,0.5805721393034826,1.105445820300784,1.1512825691779438,0.9928637914986038,2,2.1791044776119404,9.24932322797632,8.036217401272776
fast,RUB_AMD,10,5,148,0.6324786324786325,0.46621621621621623,0.4673873873873873,0.9974942174248268,0.975487743871936,0.0,1,,,
slow,RUB_AMD,10,5,123,0.5256410256410257,0.5040650406504065,0.47048780487804875,1.0713668567478831,1.0187397811596028,0.0,2,2.317073170731707,4.923471146945233,4.643292504279741
fast,RUB_AMD,20,5,144,0.6187845303867403,0.4027777777777778,0.344212962962963,1.1701412239408204,1.0046885465505695,0.0,1,,,
slow,RUB_AMD,20,5,132,0.567219152854512,0.4090909090909091,0.36007575757575766,1.136124552913949,1.0060362173038229,0.0,1,2.303030303030303,7.1606164202150575,3.8191836277929605
fast,RUB_KGS,1,5,179,0.7603155339805826,0.9385474860335196,0.7969273743016758,1.1777076761303893,1.0977646965237453,1.0612597066436584,1,,,
slow,RUB_KGS,1,4,75,0.40571870170015456,0.8666666666666667,0.8010666666666666,1.081890812250333,1.163127786224135,1.004260499087036,0,2.12,22.05362581661607,13.917033838383059
fast,RUB_KGS,3,4,135,0.7319907048799381,0.8148148148148148,0.620567901234568,1.3130147614689849,1.3328053164103149,1.2058281694858481,3,,,
slow,RUB_KGS,3,4,71,0.3849728892331526,0.8028169014084507,0.5748826291079813,1.3964883625969784,1.3159898576777853,0.9068923821039903,2,1.0,8.834166439645124,4.145322365640394
