indicator,corridor,horizon_days,test_year,threshold,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift
momentum,RUB_TJS,1,2022,0.006526404164792471,36,0.711864406779661,0.6666666666666666,0.6244444444444445,1.0676156583629892
level,RUB_TJS,1,2022,-0.001055093272420704,12,0.23728813559322035,0.4166666666666667,0.6197222222222221,0.6723442402510087
reversal,RUB_TJS,1,2022,-0.005887426996157691,18,0.3559322033898305,0.8888888888888888,0.5594444444444445,1.5888778550148954
seasonality,RUB_TJS,1,2022,0.8119471744471745,32,0.632768361581921,0.78125,0.6107291666666667,1.279208596281767
momentum,RUB_TJS,1,2023,-0.07140546573083682,51,1.0084745762711864,0.7058823529411765,0.7971241830065359,0.88553624139062
level,RUB_TJS,1,2023,-0.1544866055772618,51,1.0084745762711864,0.7058823529411765,0.7990849673202614,0.8833633240634714
reversal,RUB_TJS,1,2023,-0.005844209804218503,7,0.1384180790960452,0.5714285714285714,0.7785714285714285,0.7339449541284404
seasonality,RUB_TJS,1,2023,0.8670268256333832,19,0.37570621468926557,0.5263157894736842,0.7735087719298246,0.680426400544341
momentum,RUB_TJS,1,2024,-0.01896142055676106,53,1.0480225988700564,0.7924528301886793,0.8549056603773586,0.9269476936658574
level,RUB_TJS,1,2024,-0.0683398502740741,54,1.0677966101694916,0.8518518518518519,0.8630864197530862,0.9869832641968248
reversal,RUB_TJS,1,2024,-0.03850753993455316,44,0.8700564971751413,0.8636363636363636,0.8636363636363638,0.9999999999999999
seasonality,RUB_TJS,1,2024,0.712,54,1.0677966101694916,0.8333333333333334,0.8626543209876544,0.9660107334525939
momentum,RUB_TJS,1,2025,-0.0029170476301738635,42,0.828169014084507,0.7857142857142857,0.7471428571428572,1.051625239005736
level,RUB_TJS,1,2025,-0.04023943821185688,47,0.9267605633802817,0.7446808510638298,0.7657446808510638,0.9724923589886079
reversal,RUB_TJS,1,2025,-0.010592941898237281,20,0.39436619718309857,0.75,0.6398333333333333,1.1721802552748113
seasonality,RUB_TJS,1,2025,0.8568973102061338,15,0.29577464788732394,0.7333333333333333,0.6024444444444444,1.217263002582073
momentum,RUB_TJS,1,2026,-0.00567051805703131,26,0.7878787878787878,0.7692307692307693,0.7925641025641024,0.9705596894208997
level,RUB_TJS,1,2026,-0.031023402679730736,22,0.6666666666666666,0.6818181818181818,0.7771212121212121,0.8773640085786703
reversal,RUB_TJS,1,2026,-0.008608603787975427,17,0.5151515151515151,0.7647058823529411,0.7766666666666667,0.9845998485231001
seasonality,RUB_TJS,1,2026,0.7983864684617304,26,0.7878787878787878,0.8076923076923077,0.79,1.0223953261927945
momentum,RUB_TJS,3,2022,0.006618094034974015,35,0.692090395480226,0.42857142857142855,0.432,0.992063492063492
level,RUB_TJS,3,2022,-0.001522417699855119,12,0.23728813559322035,0.25,0.38305555555555554,0.6526468455402465
reversal,RUB_TJS,3,2022,-0.0024832183084617207,15,0.2966101694915254,0.6,0.3566666666666667,1.6822429906542054
seasonality,RUB_TJS,3,2022,0.6481481481481481,36,0.711864406779661,0.5833333333333334,0.4293518518518518,1.358637049816692
momentum,RUB_TJS,3,2023,-0.1043784612386552,51,1.0084745762711864,0.6078431372549019,0.6838562091503267,0.8888464111631463
level,RUB_TJS,3,2023,-0.14959834706688735,51,1.0084745762711864,0.6078431372549019,0.6875163398692811,0.8841144595493867
reversal,RUB_TJS,3,2023,-0.11567415671316711,51,1.0084745762711864,0.6078431372549019,0.6804575163398693,0.8932859475554701
seasonality,RUB_TJS,3,2023,0.696969696969697,19,0.37570621468926557,0.47368421052631576,0.6982456140350877,0.678391959798995
momentum,RUB_TJS,3,2024,-0.03948663784909758,54,1.0677966101694916,0.6666666666666666,0.7124074074074074,0.9357941252924357
level,RUB_TJS,3,2024,-0.0704962401616172,54,1.0677966101694916,0.6666666666666666,0.7096296296296296,0.9394572025052191
reversal,RUB_TJS,3,2024,-0.07599816055031039,54,1.0677966101694916,0.6666666666666666,0.7104938271604938,0.9383145091225021
seasonality,RUB_TJS,3,2024,0.568,54,1.0677966101694916,0.6666666666666666,0.7093209876543211,0.9398659820729265
momentum,RUB_TJS,3,2025,-0.0011429771570377056,41,0.8084507042253521,0.5121951219512195,0.604959349593496,0.8466603951081844
level,RUB_TJS,3,2025,-0.0035889817033563794,16,0.31549295774647884,0.5625,0.44729166666666664,1.2575687005123428
reversal,RUB_TJS,3,2025,-0.008200193235283867,20,0.39436619718309857,0.75,0.48650000000000004,1.541623843782117
seasonality,RUB_TJS,3,2025,0.589041095890411,53,1.0450704225352112,0.5094339622641509,0.6201886792452829,0.8214177061149986
momentum,RUB_TJS,3,2026,-0.005683648385167994,26,0.7982456140350878,0.5769230769230769,0.5553846153846153,1.0387811634349031
level,RUB_TJS,3,2026,-0.048688288134200786,25,0.7675438596491229,0.44,0.5530666666666667,0.7955641272902603
reversal,RUB_TJS,3,2026,-0.008608195126789986,17,0.5219298245614036,0.5294117647058824,0.48627450980392156,1.0887096774193548
seasonality,RUB_TJS,3,2026,0.6160304391217565,30,0.9210526315789475,0.6,0.5914444444444444,1.0144655269584821
momentum,RUB_TJS,5,2022,0.006750036412432817,35,0.692090395480226,0.4,0.38247619047619047,1.0458167330677293
level,RUB_TJS,5,2022,-0.0011770138990412724,12,0.23728813559322035,0.16666666666666666,0.3655555555555555,0.45592705167173253
reversal,RUB_TJS,5,2022,-0.002259402047727052,15,0.2966101694915254,0.5333333333333333,0.33199999999999996,1.6064257028112452
seasonality,RUB_TJS,5,2022,0.6091954022988506,15,0.2966101694915254,0.6,0.3293333333333333,1.8218623481781377
momentum,RUB_TJS,5,2023,-0.10584978742899609,51,1.0084745762711864,0.5686274509803921,0.6337908496732025,0.8971846962978242
level,RUB_TJS,5,2023,-0.15305045621466573,51,1.0084745762711864,0.5686274509803921,0.6323529411764706,0.8992248062015504
