indicator,corridor,horizon_days,folds,signals,signal_hit_rate,random_hit_rate,lift,median_fold_lift,min_fold_lift,folds_lift_ge_1_3
reversal,RUB_UZS,3,5,104,0.625,0.5548076923076922,1.126516464471404,1.4738722644037519,0.8849557522123893,3
seasonality,RUB_TJS,20,5,145,0.3793103448275862,0.30441379310344824,1.2460353420933394,1.2364760432766615,1.0391409767925184,1
seasonality,RUB_KGS,1,5,145,0.7586206896551724,0.7548735632183907,1.0049639126595,1.178318931657502,0.7854297097324987,1
reversal,RUB_TJS,10,5,140,0.4714285714285714,0.4228333333333334,1.1149276423222025,1.1741682974559688,0.9992313604919291,1
seasonality,RUB_KZT,20,5,170,0.28823529411764703,0.28152941176470586,1.0238194734642707,1.16361071932299,0.5046257359125316,0
reversal,RUB_TJS,20,5,97,0.3711340206185567,0.29807560137457045,1.2451002997463685,1.1428571428571428,0.5489478499542545,2
seasonality,RUB_KZT,10,5,153,0.35294117647058826,0.3353376906318083,1.0524948024948024,1.1051574012056262,0.9717473456901206,0
reversal,RUB_KGS,20,5,191,0.36649214659685864,0.33872600349040133,1.0819722809006134,1.0889292196007259,0.9375,1
reversal,RUB_TJS,3,5,157,0.6369426751592356,0.6141188959660298,1.0371650821089022,1.0887096774193548,0.8932859475554701,2
reversal,RUB_UZS,20,5,137,0.30656934306569344,0.27294403892944036,1.1231948653949013,1.0794896957801767,0.7115749525616698,2
reversal,RUB_UZS,5,5,135,0.5111111111111111,0.48397530864197524,1.0560685679302078,1.0788381742738589,0.7552870090634441,1
momentum,RUB_UZS,20,5,144,0.2708333333333333,0.3005555555555555,0.901109057301294,1.0748407643312103,0.436046511627907,1
momentum,RUB_KZT,3,5,176,0.5170454545454546,0.513655303030303,1.0066000516205156,1.0726544622425631,0.8779536093648386,0
seasonality,RUB_UZS,20,5,169,0.28402366863905326,0.2766666666666667,1.0265915733941682,1.072473188170296,0.7653061224489798,1
level,RUB_UZS,20,5,136,0.2647058823529412,0.2724754901960784,0.9714851128901683,1.0707332900713822,0.2803738317757009,1
