corridor,horizon_days,folds,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift,median_fold_lift,min_fold_lift,folds_lift_ge_1_3,mean_test_auc,moment_advantage_bps_mean,stable_lift_ge_1_3
RUB_UZS,3,5,144,0.6127659574468085,0.7361111111111112,0.5650231481481481,1.3027981482240159,1.5126050420168065,1.129677571193222,3,0.6297254343346296,1.490290372407639,False
RUB_TJS,3,5,139,0.5914893617021276,0.8633093525179856,0.6346762589928058,1.3602357742008613,1.4208909370199692,1.1776679267228847,4,0.6425653621462497,14.476093678121583,False
RUB_AMD,3,4,118,0.6398140975987606,0.8389830508474576,0.6468361581920905,1.297056511485719,1.3359932249153297,1.0474016382435878,3,0.6262925395859232,11.707114567949152,False
RUB_KGS,3,4,135,0.731990704879938,0.8148148148148148,0.6206172839506172,1.3129102844638951,1.3301142879362886,1.1996001332889037,2,0.6345768957758373,11.045771613302964,False
RUB_KZT,1,5,164,0.6966019417475727,0.9451219512195121,0.7400609756097561,1.2770865947103895,1.3033561420658195,1.0859728506787332,3,0.6444438319607027,-3.0959261770969513,False
RUB_KZT,3,4,151,0.8187451587916343,0.7549668874172185,0.5778587196467991,1.3064904305306184,1.2847203433298453,1.155015197568389,2,0.6058980466349712,4.913910500821194,False
RUB_UZS,5,5,141,0.6003649635036495,0.5602836879432624,0.49775413711583927,1.1256233673711709,1.278688524590164,0.890302066772655,2,0.5517330376205909,-9.60418255794823,False
RUB_UZS,1,5,166,0.7050970873786407,0.9216867469879518,0.7484738955823294,1.2314213660996942,1.2612612612612613,1.0310121921283038,2,0.6588071467179222,-1.807616213513253,False
RUB_TJS,10,5,150,0.641025641025641,0.54,0.4496444444444444,1.200948897894633,1.2396694214876032,1.0612638687891942,1,0.5889174574141479,13.766917086923334,False
RUB_TJS,1,5,171,0.7263349514563107,0.9649122807017544,0.8058674463937622,1.1973585544616725,1.2096774193548387,1.135085387053891,0,0.6274348898168209,1.1135404249947376,False
RUB_AMD,1,5,177,0.7518203883495145,0.9548022598870056,0.7903389830508474,1.208092072342555,1.194298189289842,1.0807126862038752,1,0.6109888157836446,4.009075418415255,False
RUB_TJS,5,5,111,0.4726277372262773,0.6666666666666666,0.5702102102102103,1.1691594691384029,1.1892177589852007,0.7731958762886598,2,0.5941926492919611,7.740890820781079,False
RUB_KZT,20,5,143,0.614487415592388,0.3356643356643357,0.30815850815850815,1.0892586989409985,1.139240506329114,0.8389652761594033,2,0.5275503276707203,54.4503987147014,False
RUB_KGS,1,5,179,0.7603155339805825,0.9385474860335196,0.7977467411545623,1.176498050841523,1.119402985074627,1.0595227840468602,1,0.6414598062508512,0.6833805722217877,False
RUB_UZS,10,5,156,0.6666666666666666,0.41025641025641024,0.4089102564102565,1.0032920520457749,1.0262257696693273,0.0,1,0.5655657145145006,4.474766715230769,False
RUB_AMD,5,5,159,0.6770072992700729,0.6037735849056604,0.5742767295597484,1.051363487022232,1.0254713860403573,0.0,1,0.5762907248547682,3.0707401998591197,False
RUB_KGS,5,5,122,0.5194647201946472,0.6475409836065574,0.5520765027322404,1.172918934969811,1.024803208079608,0.0,2,0.5872707015019487,12.99707100299672,False
RUB_KGS,20,4,102,0.56,0.38235294117647056,0.3801307189542484,1.0058459422283355,1.0160247778077025,0.7399577167019028,1,0.5359363492261016,41.69064098923137,False
RUB_AMD,20,5,144,0.6187845303867403,0.4027777777777778,0.3463425925925926,1.1629461301964978,1.0013351134846462,0.0,1,0.5524255020895001,22.39569904582153,False
RUB_AMD,10,5,148,0.6324786324786325,0.46621621621621623,0.46511261261261266,1.0023727664519877,0.976342470897484,0.0,1,0.5191401387478015,-7.1790509963445945,False
RUB_KZT,10,5,163,0.6965811965811965,0.3619631901840491,0.34730061349693253,1.0422186892775127,0.9672219236969373,0.9446339543426922,1,0.4998155554428079,32.75190076050368,False
RUB_TJS,20,5,129,0.5543278084714549,0.4263565891472868,0.3743152454780362,1.1390307883473698,0.9300265721877766,0.0,1,0.6065076404822143,18.181917087344967,False
RUB_UZS,20,5,199,0.8551258440761202,0.3065326633165829,0.3072696817420435,0.9976013955516791,0.9222661396574442,0.8589152218864324,1,0.5558433044734521,17.8758384847211,False
RUB_KZT,5,5,119,0.5066909975669099,0.5378151260504201,0.502436974789916,1.0704131125606287,0.8670520231213872,0.0,0,0.5311214956623797,23.879652099116804,False
RUB_KGS,10,4,121,0.6596573208722741,0.4297520661157025,0.4794490358126721,0.8963456676626065,0.8118674518704704,0.6150691952844696,1,0.5299356072585447,8.206226133190082,False
