hypothesis_id,horizon_days,epsilon_bps,strategy,model,test_year,validation_auc,validation_pr_auc,train_rows,validation_rows,feature_count,hyperparameters,corridor
H001_price_core,3,50,per_corridor,logistic,2022,0.5539310988412784,0.7003130913707165,1064,244,17,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS
H001_price_core,3,50,per_corridor,logistic,2022,0.4890815671162492,0.6924280352919643,1064,245,17,"{""C"": 10.0, ""class_weight"": ""none""}",RUB_UZS
H001_price_core,3,50,per_corridor,logistic,2022,0.5828787878787878,0.7309423826891694,1064,245,17,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KGS
H001_price_core,3,50,per_corridor,logistic,2022,0.6075344611528822,0.7803219502344527,1063,244,17,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_AMD
H001_price_core,3,50,per_corridor,logistic,2022,0.573695579926886,0.7883942723788253,1063,245,17,"{""C"": 0.1, ""class_weight"": ""none""}",RUB_KZT
H001_price_core,3,50,per_corridor,logistic,2023,0.5875399805312196,0.6808203045308515,1311,243,17,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_TJS
H001_price_core,3,50,per_corridor,logistic,2023,0.5558035714285715,0.5997915519644579,1312,244,17,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_UZS
H001_price_core,3,50,per_corridor,logistic,2023,0.622480936819172,0.6935076408315943,1312,244,17,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_KGS
H001_price_core,3,50,per_corridor,logistic,2023,0.6010989010989011,0.6582053782701154,1310,244,17,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_AMD
H001_price_core,3,50,per_corridor,logistic,2023,0.568,0.5693686179646003,1311,244,17,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_KZT
H001_price_core,3,50,per_corridor,logistic,2024,0.49568129737352373,0.7665843816247514,1557,245,17,"{""C"": 10.0, ""class_weight"": ""balanced""}",RUB_TJS
H001_price_core,3,50,per_corridor,logistic,2024,0.5907285911602209,0.7941645076184725,1559,245,17,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H001_price_core,3,50,per_corridor,logistic,2024,0.5211154668567356,0.7679677001425794,1559,245,17,"{""C"": 1.0, ""class_weight"": ""balanced""}",RUB_KGS
H001_price_core,3,50,per_corridor,logistic,2024,0.4752136752136752,0.7474172278623442,1557,245,17,"{""C"": 10.0, ""class_weight"": ""none""}",RUB_AMD
H001_price_core,3,50,per_corridor,logistic,2024,0.532608695652174,0.6662024115739693,1558,245,17,"{""C"": 1.0, ""class_weight"": ""none""}",RUB_KZT
H001_price_core,3,50,per_corridor,logistic,2025,0.611111111111111,0.7836123163376161,1805,247,17,"{""C"": 0.1, ""class_weight"": ""balanced""}",RUB_TJS
H001_price_core,3,50,per_corridor,logistic,2025,0.6189576444654384,0.7708731195389436,1807,247,17,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H001_price_core,3,50,per_corridor,logistic,2025,0.6242256822367319,0.8046348346914447,1807,247,17,"{""C"": 1.0, ""class_weight"": ""balanced""}",RUB_KGS
H001_price_core,3,50,per_corridor,logistic,2025,0.583435047951177,0.7799789181636072,1805,247,17,"{""C"": 10.0, ""class_weight"": ""none""}",RUB_AMD
H001_price_core,3,50,per_corridor,logistic,2025,0.5301204819277108,0.674286774445398,1806,247,17,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KZT
H001_price_core,3,50,per_corridor,logistic,2026,0.6516534490498278,0.7703143814521025,2054,245,17,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_TJS
H001_price_core,3,50,per_corridor,logistic,2026,0.5812000541785182,0.631517791403064,2056,245,17,"{""C"": 0.01, ""class_weight"": ""balanced""}",RUB_UZS
H001_price_core,3,50,per_corridor,logistic,2026,0.6183376548545088,0.7593261032240936,2056,245,17,"{""C"": 0.01, ""class_weight"": ""none""}",RUB_KGS
