date,corridor,rub_per_unit,message_hit,target_good_now,future_regret_bps,moment_advantage_bps,score,threshold,hypothesis_id,horizon_days,epsilon_bps,strategy,model,test_year
2022-01-14,RUB_TJS,6.60776,1,1.0,0.0,75.7370463989,0.8256822096045698,0.7834135733664024,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-02-05,RUB_TJS,6.73613,0,0.0,53.1017067663,30.7220863703,0.7851346738398106,0.7834135733664024,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-02-12,RUB_TJS,6.63893,1,1.0,0.0,29.0059367873,0.7960503992038234,0.7834135733664024,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-02-18,RUB_TJS,6.71269,1,0.0,0.0,9.9010532493,0.7955499045085377,0.7834135733664024,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-03-26,RUB_TJS,7.63517,1,1.0,0.0,508.4360179473,0.8193371728804066,0.7834135733664024,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-04-09,RUB_TJS,5.98801,1,1.0,0.0,402.3008244903,0.799651900289058,0.7834135733664024,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-04-23,RUB_TJS,5.87687,1,1.0,19.5682395561,199.0490682589,0.7853907401751786,0.7834135733664024,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-09-17,RUB_TJS,5.86303,1,0.0,0.0,-11.3160638344,0.816146242175058,0.7834135733664024,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-09-30,RUB_TJS,5.61689,0,0.0,366.8578163361,-100.4023131271,0.784866078511094,0.7834135733664024,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-11-18,RUB_TJS,5.91427,1,1.0,2.5362386229,-3.8734907764,0.7843463701663759,0.7834135733664024,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-11-25,RUB_TJS,5.91446,1,1.0,0.0,24.0211600179,0.8108328318526773,0.7834135733664024,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-01-14,RUB_UZS,0.00689298,1,1.0,0.0,83.2784241059,0.8737247922112987,0.868395298608546,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-02-18,RUB_UZS,0.00698498,1,0.0,9.2197830201,4.5485107358,0.8703700543226569,0.868395298608546,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-05-20,RUB_UZS,0.00560646,0,0.0,527.5164720697,-161.0456510476,0.8695571801559006,0.868395298608546,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-01-15,RUB_KGS,0.893193,1,0.0,0.0,-57.979743285,0.8987885400805401,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-02-02,RUB_KGS,0.90929,0,0.0,137.6458555576,-8.7255548055,0.8454816896184794,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-02-18,RUB_KGS,0.893039,1,0.0,0.0,10.2098834996,0.8451881882261639,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-03-16,RUB_KGS,1.08235,0,0.0,723.3334873193,68.8558627759,0.854617014104958,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-04-09,RUB_KGS,0.807754,1,1.0,0.0,671.457085038,0.8972537192279868,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-04-23,RUB_KGS,0.908983,0,0.0,286.8150449458,138.5159142036,0.8870507828800117,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-05-14,RUB_KGS,0.768094,1,1.0,0.0,268.0836552775,0.857689974162485,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-05-21,RUB_KGS,0.737279,0,0.0,69.0918905869,240.329120052,0.8516781938561249,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-06-11,RUB_KGS,0.726755,1,1.0,0.0,151.6773539599,0.8842979621884179,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-07-01,RUB_KGS,0.660532,1,0.0,0.0,100.2092483354,0.8603325891120546,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-07-16,RUB_KGS,0.714249,0,0.0,111.2357175159,16.9680332875,0.8452375025218384,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-09-24,RUB_KGS,0.712317,1,1.0,6.3314507445,169.1478981414,0.8467507968564467,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-11-25,RUB_KGS,0.71519,1,1.0,0.0,23.6857082278,0.8567359127289933,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-12-03,RUB_KGS,0.731497,1,0.0,0.0,-42.015628386,0.8741773807230234,0.8323707573797944,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-03-25,RUB_AMD,0.19572,1,1.0,46.7504598406,334.5966187596,0.9165509074295312,0.8318685046533155,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-04-08,RUB_AMD,0.15989,0,0.0,158.7966727125,270.3994923218,0.8660609434334611,0.8318685046533155,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-04-23,RUB_AMD,0.157304,1,1.0,3.3057010629,182.7437869163,0.8519448719340855,0.8318685046533155,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-05-06,RUB_AMD,0.145696,0,0.0,250.4529980233,173.8294309548,0.9077944755743965,0.8318685046533155,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-05-13,RUB_AMD,0.140921,0,0.0,73.3744438373,57.2206699969,0.9076615410340567,0.8318685046533155,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-05-20,RUB_AMD,0.135836,0,0.0,554.9338908684,-128.268765778,0.9081982824089008,0.8318685046533155,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-06-10,RUB_AMD,0.136792,1,1.0,0.0,103.2010410024,0.8635412592357953,0.8318685046533155,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-06-16,RUB_AMD,0.133505,1,1.0,36.4780345305,91.0486660262,0.8338578676090255,0.8318685046533155,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-06-23,RUB_AMD,0.129123,1,1.0,0.0,153.8372714963,0.8381791674534109,0.8318685046533155,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-08-19,RUB_AMD,0.147754,0,0.0,122.0271532412,32.2371420063,0.8601144272497173,0.8318685046533155,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-10-01,RUB_AMD,0.136321,1,1.0,0.0,235.9545158277,0.8529822765574925,0.8318685046533155,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-03-19,RUB_KZT,0.204893,1,1.0,0.0,150.9443550204,0.85661463765577,0.8084581530256965,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-03-26,RUB_KZT,0.193977,1,1.0,0.0,155.7647079294,0.8202294004269407,0.8084581530256965,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-03-31,RUB_KZT,0.180649,0,0.0,287.8510260228,138.9929715908,0.8599697366419145,0.8084581530256965,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-04-09,RUB_KZT,0.163118,1,1.0,0.0,374.0853144495,0.908187051207338,0.8084581530256965,H008_pooling_ablation,3,50,per_corridor,catboost,2022
2022-04-22,RUB_KZT,0.168905,0,0.0,199.4020307273,63.3262457243,0.8417045277392738,0.8084581530256965,H008_pooling_ablation,3,50,per_corridor,catboost,2022
