metric,estimate,ci_low,ci_high,bootstrap_se,probability_delta_gt_zero,probability_lift_ge_1_3,probability_improvement,replicates,evaluation_view,block_length_days,run_id,artifact_schema_version,evaluation_protocol_version
model_hit_rate,0.8058307988601477,0.7448099673346871,0.8626300743281875,0.029917655129757453,,,,5000,all_folds,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_hit_rate,0.6719535338248801,0.6314521313789739,0.7126905828720613,0.020814186782327708,,,,5000,all_folds,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_hit_rate,0.13387726503526765,0.08178762482553471,0.18344102963178022,0.02577671990498718,1.0,,1.0,5000,all_folds,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
lift,1.1996524573126048,1.1206380952933581,1.2798775698699367,0.0401492976847474,,0.0074,,5000,all_folds,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_mean_regret_bps,35.362012102699225,23.21235580723761,50.30823428764223,7.114585207792874,,,,5000,all_folds,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_mean_regret_bps,64.85599451473865,49.855337552572706,81.42546326769677,8.061647275539325,,,,5000,all_folds,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_mean_regret_bps,-29.49398241203942,-41.588733459980226,-18.8628175967486,5.825287198230939,,,1.0,5000,all_folds,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_false_push_regret_bps,-28.470505745322,-58.6441547506969,3.6313895717311917,15.778218267652084,,,0.9608,5000,all_folds,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_p90_regret_bps,-73.08599505266695,-134.3649119683025,-25.819510801100023,27.84215013956702,,,1.0,5000,all_folds,28,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_hit_rate,0.8041201260729031,0.7435374725594329,0.8596508807087859,0.029683125445230923,,,,5000,all_folds,14,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_hit_rate,0.6703005269258904,0.6300182662524394,0.7109362470028321,0.020904717754841744,,,,5000,all_folds,14,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_hit_rate,0.13381959914701272,0.08059044976020026,0.18687790727964773,0.02673828045354743,1.0,,1.0,5000,all_folds,14,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
lift,1.2001375640277547,1.119197434812924,1.2843874643814517,0.04200066814288784,,0.0114,,5000,all_folds,14,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_mean_regret_bps,35.179964424990374,23.517487281928123,49.77714897449152,6.728578521076248,,,,5000,all_folds,14,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_mean_regret_bps,64.76868814753131,51.59115298100407,78.76821307314208,7.045846096470853,,,,5000,all_folds,14,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_mean_regret_bps,-29.588723722540937,-41.50942691091281,-18.44465048313865,5.939927783653001,,,1.0,5000,all_folds,14,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_false_push_regret_bps,-29.37745009108527,-60.167850874818505,5.285491564895024,16.76745602773563,,,0.9536,5000,all_folds,14,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_p90_regret_bps,-74.88340036723082,-132.973962911955,-27.076527323802516,27.15005924753235,,,1.0,5000,all_folds,14,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
model_hit_rate,0.7999722675169276,0.7397901689891315,0.8582272760320964,0.030216263685017963,,,,5000,all_folds,56,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
matched_random_hit_rate,0.6723435369067858,0.6273430485829627,0.7167165109556713,0.02306321492270288,,,,5000,all_folds,56,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
delta_hit_rate,0.12762873061014188,0.08076771293476721,0.17887199418890745,0.02506376614525645,1.0,,1.0,5000,all_folds,56,20260905_h013_temporal_v3_catboost_control,3,temporal_v3
