evaluation_view,total_signals,signal_hits,signal_hit_rate,matched_random_hit_rate,delta_hit_rate,lift,signals_per_week,signals_per_month,candidates,false_pushes,false_push_rate,mean_realized_regret_bps,false_push_regret_bps_mean,weighted_cell_p90_realized_regret_bps,moment_advantage_bps_mean,suppressed_by_cooldown,cooldown_violations,active_months,inactive_months,active_cells,inactive_cells,active_cell_share,run_id,artifact_schema_version,evaluation_protocol_version
all_folds,518,439,0.8474903474903475,0.6979208494208494,0.14956949806949804,1.2143072501611238,0.4260869565217391,1.8526793478260868,928,79,0.1525096525096525,23.428301009136486,117.48335216132661,67.50128134905582,20.222016403681273,410,0,204,76,24,1,0.96,20260905_wave0_temporal_v3_baseline,3,temporal_v3
full_years_only,447,382,0.854586129753915,0.7090044742729306,0.14558165548098445,1.205332491914491,0.4283367556468172,1.8624617556468173,825,65,0.14541387024608501,22.75095305498412,120.76215850217231,65.23681228378797,22.800630742677406,378,0,172,68,19,1,0.95,20260905_wave0_temporal_v3_baseline,3,temporal_v3
year_2022,32,29,0.90625,0.573609375,0.332640625,1.5799079295034186,0.12273972602739726,0.5336876712328767,37,3,0.09375,19.709836022790622,208.21182089833334,28.706969218918136,96.98339369141874,5,0,27,33,4,1,0.8,20260905_wave0_temporal_v3_baseline,3,temporal_v3
leave_2022_out,486,410,0.8436213991769548,0.7061059670781893,0.1375154320987655,1.194751834016916,0.5089005235602094,2.212763089005236,891,76,0.15637860082304528,23.67313820988354,113.90196523749738,70.0556393493941,15.16776933946811,405,0,177,43,20,0,1.0,20260905_wave0_temporal_v3_baseline,3,temporal_v3
year_2023,108,91,0.8425925925925926,0.710111111111111,0.13248148148148153,1.1865644395764878,0.41424657534246573,1.8011958904109588,199,17,0.1574074074074074,25.815580937963887,126.18768535755883,72.04690256124572,16.44480174722778,91,0,43,17,5,0,1.0,20260905_wave0_temporal_v3_baseline,3,temporal_v3
leave_2023_out,410,348,0.848780487804878,0.694709756097561,0.154070731707317,1.2217771239787802,0.4293193717277487,1.8667342931937174,729,62,0.15121951219512195,22.79945654007951,115.09668015590805,66.30389820047897,21.21699002050317,319,0,161,59,19,1,0.95,20260905_wave0_temporal_v3_baseline,3,temporal_v3
year_2024,191,163,0.8534031413612565,0.7566649214659685,0.09673821989528797,1.127848162576199,0.7306010928961748,3.17674487704918,404,28,0.14659685863874344,21.573508766098428,108.77737779902499,66.40751773943288,22.592059740646075,213,0,59,1,5,0,1.0,20260905_wave0_temporal_v3_baseline,3,temporal_v3
leave_2024_out,327,276,0.8440366972477065,0.6636085626911316,0.18042813455657492,1.271889400921659,0.3426646706586826,1.4899488211077845,524,51,0.1559633027522936,24.51168118779174,122.2631027916098,68.1401463320466,18.8376791640474,197,0,145,75,19,1,0.95,20260905_wave0_temporal_v3_baseline,3,temporal_v3
year_2025,116,99,0.853448275862069,0.6668491379310345,0.18659913793103444,1.2798221176531424,0.44493150684931504,1.934617808219178,185,17,0.14655172413793102,22.675330579514657,119.64397708794117,67.04595440518636,8.597339178339656,69,0,43,17,5,0,1.0,20260905_wave0_temporal_v3_baseline,3,temporal_v3
leave_2025_out,402,340,0.845771144278607,0.7068868159203981,0.13888432835820885,1.1964732192343626,0.42094240837696334,1.830310209424084,743,62,0.15422885572139303,23.6455760584801,116.8909227459645,67.63266922340623,23.576400876665424,341,0,161,59,19,1,0.95,20260905_wave0_temporal_v3_baseline,3,temporal_v3
year_2026,71,57,0.8028169014084507,0.6281408450704226,0.17467605633802818,1.2780842190232746,0.412448132780083,1.7933760373443983,103,14,0.19718309859154928,27.692731086687328,102.26032272168571,81.75786828109436,3.9876416215507042,32,0,32,8,5,0,1.0,20260905_wave0_temporal_v3_baseline,3,temporal_v3
leave_2026_out,447,382,0.854586129753915,0.7090044742729306,0.14558165548098445,1.205332491914491,0.4283367556468172,1.8624617556468173,825,65,0.14541387024608501,22.75095305498412,120.76215850217231,65.23681228378797,22.800630742677406,378,0,172,68,19,1,0.95,20260905_wave0_temporal_v3_baseline,3,temporal_v3
