metric,estimate,ci_low,ci_high,bootstrap_se,probability_delta_gt_zero,probability_lift_ge_1_3,probability_improvement,replicates,evaluation_view,block_length_days,run_id,artifact_schema_version,evaluation_protocol_version
model_hit_rate,0.860270488082018,0.8110392452995382,0.9067683313121073,0.024767136242508786,,,,5000,all_folds,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
matched_random_hit_rate,0.7038033616888398,0.6650037694555859,0.7420368169740904,0.019875344265420015,,,,5000,all_folds,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_hit_rate,0.15646712639317806,0.11648129399114127,0.19725280991078445,0.020520692204212515,1.0,,1.0,5000,all_folds,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
lift,1.2226994671730689,1.163842401936971,1.2868912003571515,0.031452959069999946,,0.012,,5000,all_folds,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_mean_regret_bps,22.959364193217656,16.163627774690273,30.574336655126167,3.6815823115103075,,,,5000,all_folds,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
matched_random_mean_regret_bps,51.97177165850727,42.45822046970707,62.62471057600667,5.17256438362613,,,,5000,all_folds,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_mean_regret_bps,-29.01240746528962,-37.41254585506527,-21.41037367082207,4.095003487872445,,,1.0,5000,all_folds,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_false_push_regret_bps,-32.999083592355696,-54.7524218078241,-11.639349693034324,10.893038423516776,,,0.9974,5000,all_folds,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
delta_p90_regret_bps,-80.77418705199591,-117.364441356715,-52.68880146713504,16.43015829734598,,,1.0,5000,all_folds,28,20260905_wave0_temporal_v3_baseline,3,temporal_v3
model_hit_rate,0.8541565761855514,0.8036791374159362,0.9015166428060128,0.025058048575712047,,,,5000,all_folds,14,20260905_wave0_temporal_v3_baseline,3,temporal_v3
