evaluation_view,total_signals,signal_hits,signal_hit_rate,matched_random_hit_rate,delta_hit_rate,lift,signals_per_week,signals_per_month,candidates,false_pushes,false_push_rate,mean_realized_regret_bps,false_push_regret_bps_mean,weighted_cell_p90_realized_regret_bps,moment_advantage_bps_mean,suppressed_by_cooldown,cooldown_violations,active_months,inactive_months,active_cells,inactive_cells,active_cell_share,run_id,artifact_schema_version,evaluation_protocol_version
all_folds,439,364,0.8291571753986332,0.7115148063781321,0.11764236902050107,1.1653407180931952,0.3611045828437133,1.5701278642773207,844,75,0.17084282460136674,24.870813074766744,115.62654081837468,75.81779308676681,14.99974449939613,405,0,173,107,21,4,0.84,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
full_years_only,389,322,0.8277634961439588,0.7230732647814909,0.10469023136246791,1.144785095040272,0.37275838466803557,1.6208000513347023,780,67,0.17223650385604114,25.307554829326477,118.83216914044628,78.28741582694045,16.410297658950643,391,0,147,93,16,4,0.8,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
year_2022,5,5,1.0,0.6334000000000001,0.3665999999999999,1.5787811809283232,0.019178082191780823,0.08338869863013698,5,0,0.0,0.0,,0.0,18.509463023640002,0,0,5,55,1,4,0.2,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
leave_2022_out,434,359,0.8271889400921659,0.7124147465437788,0.11477419354838714,1.1611058643931849,0.4544502617801047,1.976006544502618,839,75,0.1728110599078341,25.15734317931475,115.62654081837468,76.69126996564663,14.959309954185949,405,0,168,52,20,0,1.0,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
year_2023,127,108,0.8503937007874016,0.7106771653543307,0.13971653543307094,1.196596348165219,0.48712328767123286,2.1180729452054794,233,19,0.14960629921259844,24.845153407602364,134.27069934384213,76.12254274344808,20.297201394714175,106,0,48,12,5,0,1.0,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
leave_2023_out,312,256,0.8205128205128205,0.7118557692307693,0.10865705128205116,1.1526391384022439,0.3267015706806283,1.4205392670157069,611,56,0.1794871794871795,24.881257875183014,109.30084417580538,75.69374434831002,12.843407878545513,299,0,125,95,16,4,0.8,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
year_2024,170,138,0.8117647058823529,0.7567647058823531,0.05499999999999983,1.0726778080062183,0.6502732240437158,2.827469262295082,393,32,0.18823529411764706,27.113553887448823,114.27359508161562,82.45598652443414,16.915033099542356,223,0,58,2,5,0,1.0,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
leave_2024_out,269,226,0.8401486988847584,0.682918215613383,0.15723048327137545,1.2302332544024386,0.28188622754491016,1.2256765531437126,451,43,0.15985130111524162,23.453467579763192,116.63338415735815,71.62265225255327,13.789339064359478,182,0,115,105,16,4,0.8,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
year_2025,87,71,0.8160919540229885,0.6804885057471264,0.13560344827586213,1.1992736793209746,0.3336986301369863,1.4509633561643835,149,16,0.1839080459770115,23.908048103174714,109.61606264157498,77.80142665641517,9.629405404168965,62,0,36,24,5,0,1.0,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
leave_2025_out,352,293,0.8323863636363636,0.7191832386363637,0.11320312499999996,1.1574051214189076,0.36858638743455496,1.6026596858638744,695,59,0.16761363636363635,25.108769189904546,117.25650100191358,75.32752001699578,16.327072628046025,343,0,137,83,16,4,0.8,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
year_2026,50,42,0.84,0.62159,0.21841,1.3513730915877025,0.29045643153526973,1.2629408713692947,64,8,0.16,21.472962224292,88.779403621025,56.604128168216015,4.025640918062001,14,0,26,14,5,0,1.0,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
leave_2026_out,389,322,0.8277634961439588,0.7230732647814909,0.10469023136246791,1.144785095040272,0.37275838466803557,1.6208000513347023,780,67,0.17223650385604114,25.307554829326477,118.83216914044628,78.28741582694045,16.410297658950643,391,0,147,93,16,4,0.8,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
