metric,estimate,ci_low,ci_high,bootstrap_se,probability_delta_gt_zero,probability_lift_ge_1_3,probability_improvement,replicates,evaluation_view,block_length_days,run_id,artifact_schema_version,evaluation_protocol_version
model_hit_rate,0.8392400388385272,0.7787779155774052,0.8943688512987472,0.029421427005355685,,,,5000,all_folds,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_hit_rate,0.718809955125148,0.6820946919602773,0.7547666006717273,0.018480470819176396,,,,5000,all_folds,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_hit_rate,0.12043008371337914,0.07491409988049588,0.16620675932733447,0.023477060848459082,1.0,,1.0,5000,all_folds,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
lift,1.1676777755949992,1.104182287829694,1.2335930583641275,0.033200835300447325,,0.0002,,5000,all_folds,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_mean_regret_bps,24.57139545874882,16.526128245535357,34.12255133805726,4.447981778872361,,,,5000,all_folds,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_mean_regret_bps,43.90291600667088,36.004418569016984,53.161936348031254,4.365231057250803,,,,5000,all_folds,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_mean_regret_bps,-19.331520547922054,-25.890539886724717,-13.121868875414197,3.3343185900730643,,,1.0,5000,all_folds,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_false_push_regret_bps,-15.70961224335485,-31.774430332770024,1.5553819179605677,8.484598099585059,,,0.96,5000,all_folds,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_p90_regret_bps,-51.002467921920676,-77.64381304687501,-21.325763358495,13.930188029428242,,,0.9994,5000,all_folds,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_hit_rate,0.835762685534231,0.7772719018269866,0.8894120475113122,0.028883343408614693,,,,5000,all_folds,14,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_hit_rate,0.7148245262765216,0.6735845981793028,0.7532461088362092,0.02049834756067517,,,,5000,all_folds,14,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_hit_rate,0.12093815925770923,0.07135112875746073,0.16780209167812954,0.024664816722412455,1.0,,1.0,5000,all_folds,14,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
lift,1.169516377720036,1.099051367496604,1.2392148696742524,0.03585551422253128,,0.0004,,5000,all_folds,14,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_mean_regret_bps,24.577776847797644,17.01816435904082,33.192828297179524,4.218416494856265,,,,5000,all_folds,14,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_mean_regret_bps,44.48998669791285,36.548193585674355,53.34183608479002,4.323885969752089,,,,5000,all_folds,14,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_mean_regret_bps,-19.9122098501152,-27.12574225413463,-12.808383007245304,3.64327434988739,,,1.0,5000,all_folds,14,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_false_push_regret_bps,-17.720152976900636,-36.10775871403795,1.7221750234648785,9.446363982605837,,,0.9646,5000,all_folds,14,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_p90_regret_bps,-52.83765432527277,-79.9112859295325,-23.10288175059999,14.210949302074606,,,0.9996,5000,all_folds,14,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_hit_rate,0.838420830025061,0.77728285077951,0.8929358597679398,0.02980117188178003,,,,5000,all_folds,56,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_hit_rate,0.7211109812182601,0.6850447503490203,0.7578404502687515,0.018306858224769074,,,,5000,all_folds,56,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_hit_rate,0.11730984880680076,0.07117571247146447,0.16115367569492975,0.02292437630886145,1.0,,1.0,5000,all_folds,56,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
lift,1.1627566759340935,1.0985418515352912,1.2253351919176405,0.032034662336719755,,0.0,,5000,all_folds,56,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_mean_regret_bps,24.81270856201054,17.161679205316528,33.41722942551551,4.218511451766933,,,,5000,all_folds,56,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_mean_regret_bps,43.25380304036871,35.047328535289175,52.24792736815437,4.400581485932938,,,,5000,all_folds,56,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_mean_regret_bps,-18.44109447835817,-25.056524916624642,-12.148759131422663,3.3239993549620666,,,1.0,5000,all_folds,56,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_false_push_regret_bps,-13.922573934134373,-29.652695273030652,3.737102069905636,8.49915001758332,,,0.9472,5000,all_folds,56,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_p90_regret_bps,-49.10452413722744,-78.32135176053,-22.34036132584503,14.212575563597284,,,0.9992,5000,all_folds,56,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_hit_rate,0.8394040780793254,0.7734789938408639,0.9002758922397369,0.03240799170182148,,,,5000,full_years_only,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_hit_rate,0.7313798542513273,0.6929719503322295,0.7679629484991609,0.019112145112374638,,,,5000,full_years_only,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_hit_rate,0.10802422382799805,0.05829773574196854,0.15741176757693004,0.025312619904166583,1.0,,1.0,5000,full_years_only,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
lift,1.147758384007924,1.0806946179821804,1.2183659613348639,0.03478027567197329,,0.0,,5000,full_years_only,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_mean_regret_bps,24.964066220652345,16.15666527583404,35.44041746455961,4.938203362252664,,,,5000,full_years_only,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_mean_regret_bps,43.11665857977008,34.56113251274882,53.38791170006122,4.789120575676961,,,,5000,full_years_only,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_mean_regret_bps,-18.152592359117737,-25.460437483224293,-11.267188994523478,3.634088274050302,,,1.0,5000,full_years_only,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_false_push_regret_bps,-14.34438810624605,-32.919214452637,5.990471058346613,9.781866135515498,,,0.921,5000,full_years_only,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_p90_regret_bps,-48.58055829298462,-78.6662287413425,-13.211369814770029,16.10293403794736,,,0.998,5000,full_years_only,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_hit_rate,0.8371942358526779,0.7766233766233767,0.8921161825726142,0.029234470586539454,,,,5000,leave_2022_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_hit_rate,0.7195617532736733,0.6834226572790281,0.7566106308573489,0.0186136639434353,,,,5000,leave_2022_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_hit_rate,0.11763248257900469,0.07172162746190319,0.16265041622346912,0.02329734108709619,1.0,,1.0,5000,leave_2022_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
lift,1.1636196859057537,1.099176243013447,1.2285721172891846,0.0329032162212434,,0.0,,5000,leave_2022_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_mean_regret_bps,24.87579480854494,16.967784565784555,33.87065169038133,4.394230806110421,,,,5000,leave_2022_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_mean_regret_bps,43.66822224225069,35.646226816699595,52.64766690609762,4.35240156928391,,,,5000,leave_2022_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_mean_regret_bps,-18.79242743370576,-25.257345386358743,-12.34184497163573,3.2954252252215177,,,1.0,5000,leave_2022_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_false_push_regret_bps,-15.223775739084225,-31.7083991059508,2.2582142260744407,8.693195179027889,,,0.9564,5000,leave_2022_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_p90_regret_bps,-49.30586965529704,-75.92588360616,-19.526530714470073,13.774109629469484,,,0.9996,5000,leave_2022_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_hit_rate,0.8274171021997463,0.7605177993527508,0.8898571233251299,0.03324227849721276,,,,5000,leave_2023_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_hit_rate,0.7173686930407522,0.6721952482189313,0.7620475729111964,0.02325971667614412,,,,5000,leave_2023_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_hit_rate,0.11004840915899394,0.05878531511245829,0.1596489947219451,0.025846186727926244,0.9998,,0.9998,5000,leave_2023_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
lift,1.1536689901779569,1.0819573332011745,1.2268120276557521,0.03704163195669912,,0.0,,5000,leave_2023_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_mean_regret_bps,24.63912432612446,16.705046410503783,34.086286767314945,4.395059297259794,,,,5000,leave_2023_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_mean_regret_bps,43.47153305509365,34.389907094726574,54.22103947283618,5.069393842323609,,,,5000,leave_2023_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_mean_regret_bps,-18.83240872896919,-26.219799846184728,-12.13161636398832,3.562206196761524,,,1.0,5000,leave_2023_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_false_push_regret_bps,-21.250669589994573,-35.81247539257207,-5.110981417846864,7.833301571837207,,,0.9926,5000,leave_2023_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_p90_regret_bps,-49.188894370944865,-77.79512758058999,-26.360930370485033,13.224504072545376,,,1.0,5000,leave_2023_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_hit_rate,0.8470242449630754,0.775,0.9114754098360656,0.03439202426355551,,,,5000,leave_2024_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_hit_rate,0.6865295402836118,0.6466566066594143,0.726365334749461,0.020501296525147067,,,,5000,leave_2024_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_hit_rate,0.16049470467946358,0.10352616450061634,0.2141761355408641,0.028106529449563437,1.0,,1.0,5000,leave_2024_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
lift,1.2340113948204854,1.1486961517990493,1.3145872989943073,0.04179731079030687,,0.0578,,5000,leave_2024_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_mean_regret_bps,23.541603881625804,13.477057263244053,35.38293927478,5.558448616007419,,,,5000,leave_2024_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_mean_regret_bps,47.013856344566086,38.55397271346753,56.44587806582498,4.58472458196761,,,,5000,leave_2024_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_mean_regret_bps,-23.472252462940286,-31.00434545220704,-15.585309746078826,3.9456155578932877,,,1.0,5000,leave_2024_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_false_push_regret_bps,-12.287167663219462,-36.65344152898032,11.931744303478403,12.195783296639288,,,0.8446,5000,leave_2024_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_p90_regret_bps,-56.8468325147972,-94.88349545399998,-10.318272506400007,23.320337079169704,,,0.9984,5000,leave_2024_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_hit_rate,0.8443418315954831,0.7755519147866767,0.9095495700074718,0.03421634950505851,,,,5000,leave_2025_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_hit_rate,0.728613960984765,0.686490911681452,0.7712167878808628,0.021405495940891184,,,,5000,leave_2025_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_hit_rate,0.11572787061071826,0.06151355745878903,0.17041741083667913,0.027384439314973297,1.0,,1.0,5000,leave_2025_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
lift,1.1590051293950652,1.0842691112095602,1.236340084112692,0.038181992599526524,,0.0004,,5000,leave_2025_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
model_mean_regret_bps,24.788970683930632,15.022517323853911,35.709184434855025,5.273729798573886,,,,5000,leave_2025_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
matched_random_mean_regret_bps,43.35332257707423,33.792659869385524,54.4722299016049,5.209327668395226,,,,5000,leave_2025_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_mean_regret_bps,-18.564351893143588,-26.586560724839032,-11.192602203905475,3.993291305134062,,,1.0,5000,leave_2025_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
delta_false_push_regret_bps,-15.600500070367172,-34.363983123193215,4.782950564823627,9.982368529296986,,,0.9362,5000,leave_2025_out,28,20260906_h015_temporal_v3_implied_usd_rf,3,temporal_v3
