metric,estimate,ci_low,ci_high,bootstrap_se,probability_delta_gt_zero,probability_lift_ge_1_3,probability_improvement,replicates,variant,corridor,baseline,random_mode,universe_id,outcome_id,artifact_schema_version,evaluation_protocol_version,policy_version,matched_random_version
model_hit_rate,0.6998591183907736,0.5553990610328638,0.8364004914004913,0.06598911258403532,,,,200,operating,RUB_AMD,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,3,temporal_v3,4,4
matched_random_hit_rate,0.6765158152491896,0.5861739522472081,0.7578960131332539,0.046124643145212425,,,,200,operating,RUB_AMD,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,3,temporal_v3,4,4
delta_hit_rate,0.023343303141583897,-0.047872803193605984,0.09981945604416334,0.039452210552867795,0.715,,0.715,200,operating,RUB_AMD,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,3,temporal_v3,4,4
lift,1.033903029763677,0.929127107072391,1.1454845976761816,0.05876958285740739,,0.0,,200,operating,RUB_AMD,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,3,temporal_v3,4,4
model_mean_regret_bps,64.10831454663719,38.897664062381686,99.26933100548632,15.08384708465128,,,,200,operating,RUB_AMD,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,3,temporal_v3,4,4
matched_random_mean_regret_bps,69.98799937704501,49.21995844180815,93.85949288068853,12.54542891445526,,,,200,operating,RUB_AMD,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,3,temporal_v3,4,4
delta_mean_regret_bps,-5.879684830407825,-27.73051718635442,13.435631545478136,10.318928770634345,,,0.71,200,operating,RUB_AMD,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,3,temporal_v3,4,4
delta_false_push_regret_bps,-11.34838689888371,-60.36099368906604,30.052782408675146,22.412273460749038,,,0.655,200,operating,RUB_AMD,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,3,temporal_v3,4,4
delta_p90_regret_bps,-12.5672003016155,-104.58778911975502,54.41477714202502,44.78820360966543,,,0.505,200,operating,RUB_AMD,future_safety,calendar_month_weekday,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,3,temporal_v3,4,4
model_hit_rate,0.6998591183907736,0.5553990610328638,0.8364004914004913,0.06598911258403532,,,,200,operating,RUB_AMD,future_safety,calendar_month,6c83e17844187e4f49485ed1:full,future_safety_message_hit_v2,3,temporal_v3,4,4
