run_id,hypothesis_id,model_id,feature_set_id,target_id,strategy,outer_fold,test_year,is_partial_fold,universe_id,corridor,evaluation_days,evaluation_weeks,candidates,candidate_coverage,candidates_per_week,signals,signal_coverage,signal_active,signals_per_week,signals_per_month,suppressed_by_cooldown,signal_hits,false_pushes,signal_hit_rate,hit_rate_ci_low,hit_rate_ci_high,false_push_rate,matched_random_hit_rate,random_hit_rate,matched_random_mcse,delta_hit_rate,lift,mean_realized_regret_bps,future_regret_bps_mean,median_realized_regret_bps,p90_realized_regret_bps,p95_realized_regret_bps,max_realized_regret_bps,false_push_regret_bps_mean,false_push_regret_bps_p90,cooldown_violations,active_months,inactive_months,active_month_share,moment_advantage_bps_mean,inter_signal_gap_days_median,inter_signal_gap_days_p10,share_gaps_le_7_days,max_signals_in_28_calendar_days,max_signals_in_calendar_month,longest_no_signal_gap_days,artifact_schema_version,evaluation_protocol_version
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,10d14213e118585ccaa286e9,RUB_AMD,365,52.142857142857146,3,0.012145748987854251,0.057534246575342465,2,0.008097165991902834,True,0.03835616438356164,0.16677739726027396,1,2,0,1.0,0.3423719528896193,1.0,0.0,0.7225,0.7225,0.023429971571455138,0.27749999999999997,1.3840830449826989,0.0,0.0,0.0,0.0,0.0,0.0,,,0,2,10,0.16666666666666666,29.470617638249998,7.0,7.0,1.0,2,1,328.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,10d14213e118585ccaa286e9,RUB_KGS,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,10d14213e118585ccaa286e9,RUB_KZT,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,10d14213e118585ccaa286e9,RUB_TJS,365,52.142857142857146,0,0.0,0.0,0,0.0,False,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,0,0,12,0.0,,,,,0,0,365.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2022,2022,False,10d14213e118585ccaa286e9,RUB_UZS,365,52.142857142857146,1,0.004048582995951417,0.01917808219178082,1,0.004048582995951417,True,0.01917808219178082,0.08338869863013698,0,1,0,1.0,0.20654329147389294,1.0,0.0,0.405,0.405,0.03479841445010399,0.595,2.4691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,11,0.08333333333333333,-7.8730691226,,,,1,1,259.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2023,2023,False,10d14213e118585ccaa286e9,RUB_AMD,365,52.142857142857146,33,0.13360323886639677,0.6328767123287671,17,0.06882591093117409,True,0.32602739726027397,1.4176078767123288,16,15,2,0.8823529411764706,0.6566315750229009,0.9671209199870792,0.11764705882352941,0.7085294117647059,0.7085294117647059,0.006583904186346939,0.1738235294117647,1.2453300124533002,19.601682724970587,19.601682724970587,0.0,46.88675375028001,76.17003474177994,143.2452457397,101.323238866,134.86084436496,0,8,4,0.6666666666666666,33.37282482781176,10.5,7.0,0.5,5,4,82.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2023,2023,False,10d14213e118585ccaa286e9,RUB_KGS,365,52.142857142857146,43,0.17408906882591094,0.8246575342465753,23,0.0931174089068826,True,0.44109589041095887,1.9179400684931507,20,20,3,0.8695652173913043,0.678721020269818,0.9546242348565529,0.13043478260869565,0.7282608695652173,0.7282608695652173,0.005747502847560911,0.14130434782608703,1.1940298507462688,22.15798254753913,22.15798254753913,0.0,63.941393516060025,136.6908548672799,228.0993424333,147.61172511643335,211.28379184056,0,9,3,0.75,27.900517583939127,7.0,7.0,0.6363636363636364,4,4,75.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2023,2023,False,10d14213e118585ccaa286e9,RUB_KZT,365,52.142857142857146,34,0.13765182186234817,0.6520547945205479,19,0.07692307692307693,True,0.3643835616438356,1.5843852739726028,15,16,3,0.8421052631578947,0.6243407235682331,0.9447962896007217,0.15789473684210525,0.6097368421052631,0.6097368421052631,0.007603071270446955,0.23236842105263156,1.3810962451445834,33.1199751143,33.1199751143,0.0,83.47188964013992,184.64391650355975,288.9372984109,174.35632755993333,265.76099132038,0,7,5,0.5833333333333334,23.772235427821055,7.0,7.0,0.6111111111111112,4,4,83.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2023,2023,False,10d14213e118585ccaa286e9,RUB_TJS,365,52.142857142857146,41,0.1659919028340081,0.7863013698630137,22,0.08906882591093117,True,0.42191780821917807,1.8345513698630136,19,18,4,0.8181818181818182,0.6148297802336214,0.9269323397589488,0.18181818181818182,0.7318181818181819,0.7318181818181819,0.005543660637431666,0.08636363636363631,1.1180124223602483,25.86474312267727,25.86474312267727,0.0,67.58394156418002,140.80725012114493,227.6466333372,125.82169714969999,202.74276247134,0,9,3,0.75,27.155707014736368,7.0,7.0,0.6190476190476191,4,4,69.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2023,2023,False,10d14213e118585ccaa286e9,RUB_UZS,365,52.142857142857146,38,0.15384615384615385,0.7287671232876712,20,0.08097165991902834,True,0.3835616438356164,1.6677739726027396,18,18,2,0.9,0.6989617935882066,0.9721341060158467,0.1,0.7242500000000001,0.7242500000000001,0.006210073474832167,0.17574999999999996,1.2426648256817396,14.615970485775,14.615970485775,0.0,49.999069908670016,64.24985646676008,163.4951558617,111.2607877591,153.04828224118,0,8,4,0.6666666666666666,40.257784127565,7.0,7.0,0.631578947368421,4,4,75.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2024,2024,False,10d14213e118585ccaa286e9,RUB_AMD,366,52.285714285714285,62,0.25,1.185792349726776,31,0.125,True,0.592896174863388,2.5779866803278693,31,26,5,0.8387096774193549,0.6736529727502113,0.9290748009456007,0.16129032258064516,0.7580645161290324,0.7580645161290324,0.004228874735414427,0.08064516129032251,1.106382978723404,18.72194183344516,18.72194183344516,0.0,66.0462839303,85.66031403344999,103.0977207915,79.66941711577999,97.79698091482,0,12,0,1.0,13.143660518951613,7.0,6.9,0.7666666666666667,5,5,49.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2024,2024,False,10d14213e118585ccaa286e9,RUB_KGS,366,52.285714285714285,69,0.2782258064516129,1.319672131147541,32,0.12903225806451613,True,0.6120218579234973,2.661147540983607,37,28,4,0.875,0.7193135021517204,0.9502994615552569,0.125,0.78609375,0.78609375,0.004442108579871087,0.08890624999999996,1.113098787517392,17.921376095587497,17.921376095587497,0.0,54.55318967866003,71.621548486175,105.9266135731,76.4017699009,96.09085334203,0,12,0,1.0,19.387039634068753,7.0,6.0,0.8387096774193549,5,5,49.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2024,2024,False,10d14213e118585ccaa286e9,RUB_KZT,366,52.285714285714285,89,0.3588709677419355,1.7021857923497268,37,0.14919354838709678,True,0.7076502732240437,3.0769518442622954,52,28,9,0.7567567567567568,0.5988239750929106,0.8663879656733671,0.24324324324324326,0.6617567567567568,0.6617567567567568,0.0045539401016883455,0.09499999999999997,1.1435572799673268,36.413852662456755,36.413852662456755,0.2972769432,68.57601643514,166.12912377077998,402.8259603454,124.19054116187777,217.68733850388003,0,12,0,1.0,16.167234047164865,7.0,6.0,0.6388888888888888,5,5,28.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2024,2024,False,10d14213e118585ccaa286e9,RUB_TJS,366,52.285714285714285,96,0.3870967741935484,1.8360655737704918,35,0.14112903225806453,True,0.6693989071038251,2.91063012295082,61,29,6,0.8285714285714286,0.6731739236041119,0.9189747005514327,0.17142857142857143,0.7587142857142857,0.7587142857142857,0.004271080543891555,0.06985714285714295,1.092073055921672,25.782597078894284,25.782597078894284,0.0,76.789528891,94.80189088234994,141.0934537606,93.44068864125,125.0797550259,0,12,0,1.0,25.853611364528575,7.0,5.300000000000001,0.7058823529411765,5,5,51.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2024,2024,False,10d14213e118585ccaa286e9,RUB_UZS,366,52.285714285714285,62,0.25,1.185792349726776,31,0.125,True,0.592896174863388,2.5779866803278693,31,25,6,0.8064516129032258,0.6371939644454012,0.9081311641365236,0.1935483870967742,0.7391935483870968,0.7391935483870968,0.004566433012723013,0.06725806451612892,1.0909884355225834,19.904523356296774,19.904523356296774,0.0,70.819695134,75.9884321296,97.7032302973,76.53038022926667,89.0749583131,0,11,1,0.9166666666666666,12.990970441051612,7.0,6.9,0.8,5,5,47.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2025,2025,False,10d14213e118585ccaa286e9,RUB_AMD,365,52.142857142857146,22,0.08906882591093117,0.42191780821917807,13,0.05263157894736842,True,0.24931506849315066,1.0840530821917809,9,12,1,0.9230769230769231,0.6668546607175265,0.9862899336203037,0.07692307692307693,0.7303846153846155,0.7303846153846155,0.008287694796898257,0.1926923076923076,1.2638230647709319,11.133216199876923,11.133216199876923,0.0,36.54691215648001,48.74469777255997,60.9482573674,60.9482573674,60.9482573674,0,6,6,0.5,1.3660068576153843,7.0,7.0,0.75,4,4,136.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2025,2025,False,10d14213e118585ccaa286e9,RUB_KGS,365,52.142857142857146,31,0.12550607287449392,0.5945205479452055,19,0.07692307692307693,True,0.3643835616438356,1.5843852739726028,12,17,2,0.8947368421052632,0.6860544950515831,0.9706420586049034,0.10526315789473684,0.7231578947368422,0.7231578947368422,0.006800577901737687,0.17157894736842094,1.2372634643376998,17.121923266326316,17.121923266326316,0.0,46.450294472499984,81.6259387067897,211.4972161442,139.34650645675,197.06707420671,0,7,5,0.5833333333333334,12.940000986810524,7.0,6.7,0.6666666666666666,4,4,135.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2025,2025,False,10d14213e118585ccaa286e9,RUB_KZT,365,52.142857142857146,23,0.0931174089068826,0.44109589041095887,14,0.05668016194331984,True,0.2684931506849315,1.1674417808219177,9,12,2,0.8571428571428571,0.600580922361363,0.9599069262620787,0.14285714285714285,0.6296428571428571,0.6296428571428571,0.008007237970224436,0.22750000000000004,1.361315938740783,14.69952417145,14.69952417145,0.0,52.58296149972005,77.79388855220999,101.0767604259,83.1668589846,97.49478013764,0,7,5,0.5833333333333334,18.720979951535714,7.0,6.0,0.6153846153846154,5,4,136.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2025,2025,False,10d14213e118585ccaa286e9,RUB_TJS,365,52.142857142857146,17,0.06882591093117409,0.32602739726027397,12,0.048582995951417005,True,0.23013698630136986,1.0006643835616438,5,11,1,0.9166666666666666,0.6461140782014047,0.9851352905492264,0.08333333333333333,0.7333333333333334,0.7333333333333334,0.008781897272779919,0.18333333333333324,1.2499999999999998,24.560259992983333,24.560259992983333,0.0,47.07954410418001,126.26527027765488,219.9299517297,219.9299517297,219.9299517297,0,6,6,0.5,4.4843346489833324,7.0,6.0,0.5454545454545454,4,4,143.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2025,2025,False,10d14213e118585ccaa286e9,RUB_UZS,365,52.142857142857146,22,0.08906882591093117,0.42191780821917807,13,0.05263157894736842,True,0.24931506849315066,1.0840530821917809,9,11,2,0.8461538461538461,0.5776482949136899,0.9567427368172621,0.15384615384615385,0.6834615384615383,0.6834615384615383,0.00897959885315691,0.1626923076923078,1.2380416432189085,14.985981124484615,14.985981124484615,0.0,44.283098110940024,70.13216669713992,99.3375468236,74.99973005154999,94.46998346919,0,6,6,0.5,16.349658384846155,7.0,6.1,0.6666666666666666,5,4,135.0,3,temporal_v3
20260906_h018_rf_tuning_smoke_03,H018_random_forest_tuning,random_forest,full_market_with_fx,message_hit,pooled_with_corridor_thresholds,outer_2026,2026,True,10d14213e118585ccaa286e9,RUB_AMD,241,34.42857142857143,31,0.19375,0.900414937759336,19,0.11875,True,0.5518672199170124,2.3995876556016595,12,14,5,0.7368421052631579,0.5120803155892935,0.8819376166045982,0.2631578947368421,0.6513157894736841,0.6513157894736841,0.006314439377870533,0.08552631578947378,1.1313131313131315,29.621126569121053,29.621126569121053,0.0,89.13205410222,94.53738897957997,103.3488106915,83.42777638524,99.43262326398,0,7,1,0.875,5.645990677731579,7.0,6.0,0.7222222222222222,5,5,56.0,3,temporal_v3
