evaluation_view,total_signals,signal_hits,signal_hit_rate,matched_random_hit_rate,delta_hit_rate,lift,signals_per_week,signals_per_month,candidates,false_pushes,false_push_rate,mean_realized_regret_bps,false_push_regret_bps_mean,weighted_cell_p90_realized_regret_bps,moment_advantage_bps_mean,suppressed_by_cooldown,cooldown_violations,active_months,inactive_months,active_cells,inactive_cells,active_cell_share,run_id,artifact_schema_version,evaluation_protocol_version
all_folds,408,343,0.8406862745098039,0.7034436274509804,0.1372426470588235,1.1951011306423232,0.33560517038777904,1.4592532314923619,787,65,0.15931372549019607,22.565656262652933,104.24380321788615,63.324026602752255,18.350019124444362,379,0,163,117,22,3,0.88,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
full_years_only,341,289,0.8475073313782991,0.7189442815249267,0.1285630498533724,1.1788219937999673,0.32676249144421626,1.420804158110883,686,52,0.15249266862170088,22.0512491446041,107.91843940045193,60.96327313509666,20.058838974269797,345,0,135,105,17,3,0.85,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
year_2022,3,3,1.0,0.6166666666666667,0.3833333333333333,1.6216216216216215,0.011506849315068493,0.05003321917808219,4,0,0.0,0.0,,0.0,17.022722051299997,1,0,3,57,2,3,0.4,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
leave_2022_out,405,340,0.8395061728395061,0.7040864197530864,0.13541975308641974,1.1923339937928494,0.42408376963350786,1.8439692408376964,783,65,0.16049382716049382,22.732809272005923,104.24380321788615,63.79309346647636,18.3598509546158,378,0,160,60,20,0,1.0,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
year_2023,101,87,0.8613861386138614,0.7026237623762377,0.15876237623762368,1.2259564574085815,0.3873972602739726,1.6844517123287672,189,14,0.13861386138613863,23.10381673766336,135.31135713415,62.7774344591303,30.329738975321785,88,0,41,19,5,0,1.0,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
leave_2023_out,307,256,0.8338762214983714,0.70371335504886,0.13016286644951136,1.1849657470838733,0.32146596858638743,1.3977742146596859,598,51,0.16612377850162866,22.38860672527166,95.7154550840098,63.50385007671258,14.408808359171989,291,0,122,98,17,3,0.85,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
year_2024,166,136,0.8192771084337349,0.7386144578313253,0.08066265060240962,1.109208058070304,0.6349726775956284,2.7609405737704917,378,30,0.18072289156626506,24.220529531403614,94.71651496208332,67.55116590358796,17.67242702140904,212,0,59,1,5,0,1.0,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
leave_2024_out,242,207,0.8553719008264463,0.6793181818181817,0.1760537190082646,1.2591623832841634,0.25359281437125747,1.102653255988024,409,35,0.1446280991735537,21.430495260121486,112.41005029428857,60.42441865259223,18.81481370751818,167,0,104,116,17,3,0.85,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
year_2025,71,63,0.8873239436619719,0.700492957746479,0.18683098591549285,1.2667135819845177,0.2723287671232877,1.1841195205479451,115,8,0.11267605633802817,16.413838952014085,109.4880500103625,45.55579885493241,11.155907070573239,44,0,32,28,5,0,1.0,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
leave_2025_out,337,280,0.8308605341246291,0.7040652818991099,0.12679525222551924,1.1800901926075777,0.35287958115183243,1.5343645287958116,672,57,0.16913946587537093,23.861736467564985,103.50776858034561,67.06748111342054,19.865692583865282,335,0,131,89,17,3,0.85,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
year_2026,67,54,0.8059701492537313,0.62455223880597,0.18141791044776134,1.290476759469471,0.3892116182572614,1.6923407676348547,101,13,0.19402985074626866,25.18375816197612,89.54525848762306,75.33920469932777,9.652891232049253,34,0,28,12,5,0,1.0,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
leave_2026_out,341,289,0.8475073313782991,0.7189442815249267,0.1285630498533724,1.1788219937999673,0.32676249144421626,1.420804158110883,686,52,0.15249266862170088,22.0512491446041,107.91843940045193,60.96327313509666,20.058838974269797,345,0,135,105,17,3,0.85,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
