metric,estimate,ci_low,ci_high,bootstrap_se,probability_delta_gt_zero,probability_lift_ge_1_3,probability_improvement,replicates,evaluation_view,block_length_days,run_id,artifact_schema_version,evaluation_protocol_version
model_hit_rate,0.8527504890311584,0.7893402777777778,0.9067064749705633,0.030666451149707265,,,,200,all_folds,28,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
matched_random_hit_rate,0.7124251049606661,0.671634892756494,0.7513526975581787,0.02098083116579427,,,,200,all_folds,28,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
delta_hit_rate,0.14032538407049217,0.09301870327236059,0.19094192528674284,0.025883205450754555,1.0,,1.0,200,all_folds,28,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
lift,1.1973077732615651,1.1286676944207232,1.2721591428572165,0.03800641175242081,,0.015,,200,all_folds,28,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
model_mean_regret_bps,21.981171011464138,14.70683809255427,29.673919931432472,3.8155878339072733,,,,200,all_folds,28,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
matched_random_mean_regret_bps,44.831586200091444,36.90987489294271,55.853692220813095,4.821129706533009,,,,200,all_folds,28,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
delta_mean_regret_bps,-22.850415188627295,-30.920642936541313,-15.855398702613615,3.88421492760494,,,1.0,200,all_folds,28,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
delta_false_push_regret_bps,-28.02896954771221,-49.16474469421009,-10.084248552741961,9.84218509398278,,,1.0,200,all_folds,28,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
delta_p90_regret_bps,-61.45500593452049,-92.61146417114,-37.461457764310005,14.454918353421835,,,1.0,200,all_folds,28,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
model_hit_rate,0.8476055926888583,0.7950507971241012,0.896052824651504,0.025309362154917102,,,,200,all_folds,14,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
matched_random_hit_rate,0.7058005052782187,0.6668926047516439,0.7432605921684392,0.02082355202007356,,,,200,all_folds,14,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
delta_hit_rate,0.14180508741063955,0.09074328437194376,0.18618440303568481,0.02373209967657416,1.0,,1.0,200,all_folds,14,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
lift,1.2014447624891194,1.1270527142029936,1.267579809262076,0.03621865363350628,,0.005,,200,all_folds,14,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
model_mean_regret_bps,22.391647659613945,15.802222379113385,29.00738140336345,3.368629707974129,,,,200,all_folds,14,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
matched_random_mean_regret_bps,45.37365387846812,37.56474004445532,53.74621973482286,4.273266608743471,,,,200,all_folds,14,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
delta_mean_regret_bps,-22.982006218854185,-30.85946187503105,-15.693824921956812,4.0474560383297735,,,1.0,200,all_folds,14,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
delta_false_push_regret_bps,-27.29755693324013,-47.49364681018788,-5.17285792586223,10.853752420354688,,,0.98,200,all_folds,14,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
delta_p90_regret_bps,-62.1647911665195,-95.7686653261625,-38.1111677745075,13.444589256609003,,,1.0,200,all_folds,14,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
model_hit_rate,0.8572499773819038,0.8117479879275654,0.9127611185983827,0.027995627120472252,,,,200,all_folds,56,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
matched_random_hit_rate,0.7136534777621185,0.6814619710204899,0.7502459208206944,0.017788887379738473,,,,200,all_folds,56,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
delta_hit_rate,0.14359649961978543,0.09849218359049655,0.19399610446099091,0.023801007854508897,1.0,,1.0,200,all_folds,56,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
lift,1.2014374693190573,1.1380660851893702,1.2721654648627965,0.0343972685599296,,0.005,,200,all_folds,56,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
model_mean_regret_bps,21.265542400944497,15.249497871326204,27.342060639454427,3.2749278110023496,,,,200,all_folds,56,20260906_h018_rf_tuning_smoke_03,3,temporal_v3
