check,status,detail
raw_TJS,PASS,2468 rows; 2016-09-02..2026-09-02; normalized by nominal
raw_UZS,PASS,2468 rows; 2016-09-02..2026-09-02; normalized by nominal
raw_KGS,PASS,2468 rows; 2016-09-02..2026-09-02; normalized by nominal
raw_AMD,PASS,2468 rows; 2016-09-02..2026-09-02; normalized by nominal
raw_KZT,PASS,2468 rows; 2016-09-02..2026-09-02; normalized by nominal
raw_USD,PASS,2468 rows; 2016-09-02..2026-09-02; normalized by nominal
raw_EUR,PASS,2468 rows; 2016-09-02..2026-09-02; normalized by nominal
labels_TJS,PASS,recomputed 2464 complete h=3/e=50bp labels
features_TJS,PASS,past-only first/second derivatives and reversal features available
labels_UZS,PASS,recomputed 2464 complete h=3/e=50bp labels
features_UZS,PASS,past-only first/second derivatives and reversal features available
labels_KGS,PASS,recomputed 2464 complete h=3/e=50bp labels
features_KGS,PASS,past-only first/second derivatives and reversal features available
labels_AMD,PASS,recomputed 2464 complete h=3/e=50bp labels
features_AMD,PASS,past-only first/second derivatives and reversal features available
labels_KZT,PASS,recomputed 2464 complete h=3/e=50bp labels
features_KZT,PASS,past-only first/second derivatives and reversal features available
auxiliary_asof,PASS,USD/EUR source_date never exceeds corridor date
feature_allowlist,PASS,52 configured features; forbidden=[]
walk_forward_purge,PASS,20-day label window ends before validation/test starts
