strategy,model,corridors,mean_lift,worst_fold_lift,mean_hit_rate,mean_roc_auc,mean_pr_auc,mean_brier,mean_frequency
pooled_with_corridor_thresholds,random_forest,5,1.4183374516617493,1.1097547442015314,0.8536838927027715,0.6319343083938612,0.7766543204245737,0.24647032062141658,0.4342778977207179
per_corridor,catboost,5,1.3647031968493777,0.0,0.8096410996039125,0.6203192281869262,0.7562052854988182,0.2262265595516923,0.45957446808510644
pooled_with_corridor_thresholds,catboost,5,1.341319787809661,0.9318423855165068,0.8150721366419307,0.6328019142016332,0.7555737307441237,0.22138769222977595,0.49841889517860627
per_corridor,random_forest,5,1.3212921125509147,0.7587253414264036,0.8092002153249606,0.6164491623771208,0.7626459843086986,0.24834948517041638,0.47784630090479097
per_corridor,logistic,5,1.301585876483843,0.8190299836194004,0.7999044839641283,0.6230110843069472,0.7665442502337539,0.23883065030870024,0.6562981030703561
pooled_with_corridor_thresholds,logistic,5,1.2885937457806713,0.9007849697593616,0.7943554998212761,0.6278676117292665,0.7712523323975341,0.23762671044908118,0.6943639270234192
per_corridor,knn,5,1.2838117518361916,0.9996667777407532,0.7713014843092534,0.6020188527346242,0.7485145335578769,0.22180705366591988,0.46925391828864316
pooled_with_corridor_thresholds,svm,5,1.2761854256049763,0.9104916654993698,0.7901611754414974,0.6215075388143584,0.7717365879447684,0.2224190468480304,0.6559137729287868
pooled_with_corridor_thresholds,knn,5,1.2745072572545681,0.937321705110441,0.7699177170868348,0.6032822122922822,0.7416805133188328,0.22847780760734185,0.4774468085106383
per_corridor,svm,5,1.2630426074981085,0.821917808219178,0.7745019407763761,0.6218169050666356,0.7731013469985925,0.21556627752573143,0.6079516126374079
pooled_with_corridor_thresholds,naive_bayes,5,1.05330590133537,0.7965407373691397,0.6499905132099413,0.5715001913659306,0.722354694206753,0.3839422309924091,0.612001252533909
per_corridor,naive_bayes,5,1.033626763935923,0.7595898214963919,0.6444383968332509,0.5678236839424702,0.7258007560724529,0.39094446477177264,0.5885979860573199
